CATMAT;Status;Princípio Ativo;Quantidade (Numerador);U.M. (Numerador);Quantidade (Denominador);U.M. (Denominador);Forma Farmacêutica;Volume;Desc. Volume;Fator de Correção;Uni. de Consum;Uni. de Fornecimen;Lista;RENAME
BR0399997;Sim;PAZOPANIBE;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0274105;Sim;PENFLURIDOL;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0268159;Sim;PENTOXIFILINA;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0275478;Sim;PERICIAZINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0273944;Sim;PERINDOPRIL;4;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267531-1;Sim;PERINDOPRIL + INDAPAMIDA;4 + 1,25;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0327699-1;Sim;PERMANGANATO DE POTÁSSIO;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0395835;Sim;PETASITES HYBRIDUS L.;17,8 + 40;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0286246;Sim;PIMOZIDA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0286247;Sim;PIMOZIDA;4;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0274921;Sim;PINDOLOL;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0373949;Sim;PINDOLOL;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271197;Sim;PINDOLOL + CLOPAMIDA;10 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0431569;Sim;PINUS PINASTER;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0275123;Sim;PIRACETAM;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0275124;Sim;PIRACETAM;800;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0291559;Sim;PIRACETAM + DIIDROERGOCRISTINA MESILATO;1 + 400;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272822;Sim;PIRAZINAMIDA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Sim
BR0434130;Sim;PIRENOXINA SÓDICA;PROB;;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0395161;Sim;PIRIBEDIL;50;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271764E;Sim;PIRIDOSTIGMINA;60;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0412786;Sim;PIRIDOXINA + ÁCIDO FÓLICO + CIANOCOBALAMINA;4 + 0,8 + 0,4;mg + mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268158;Sim;PIRIMETAMINA;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0274036-1;Sim;PIROXICAM;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0433171;Sim;PITAVASTATINA CÁLCICA;2;mg;;;comprimido de liberação controlada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0329352;Sim;PIZOTIFENO;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0386846;Sim;POLICARBOFILA CÁLCICA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272824E;Sim;PRAMIPEXOL;0,125;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272825E;Sim;PRAMIPEXOL;0,25;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272826E;Sim;PRAMIPEXOL;1;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0404612;Sim;PRAMIPEXOL;1,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0268147E;Sim;PRAVASTATINA;10;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268148E;Sim;PRAVASTATINA;20;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0271727E;Sim;PRAVASTATINA;40;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268148;Sim;PRAVASTATINA SÓDICA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271727;Sim;PRAVASTATINA SÓDICA;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268298;Sim;PRAZIQUANTEL;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268954;Sim;PRAZIQUANTEL;600;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0269634;Sim;PRAZIQUANTEL;150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0275118;Sim;PREDNISOLONA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0275119;Sim;PREDNISOLONA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267741;Sim;PREDNISONA ;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267743;Sim;PREDNISONA ;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272827;Sim;PRIMAQUINA DIFOSFATO;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272828;Sim;PRIMAQUINA DIFOSFATO;15;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0278482;Sim;PRIMIDONA;250;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0278482E;Sim;PRIMIDONA;250;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0319128E;Sim;PRIMIDONA;100;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0319128;Sim;PRIMIDONA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0273135;Sim;PROPATILNITRATO;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0273589;Sim;PROPILTIOURACILA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272831E;Sim;QUETIAPINA;25;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272832E;Sim;QUETIAPINA;100;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272833E;Sim;QUETIAPINA;200;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0390006E;Sim;QUETIAPINA;300;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0390006;Sim;QUETIAPINA;300;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0390007;Sim;QUETIAPINA;200;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0351443;Sim;RABEPRAZOL SÓDICO;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0351444;Sim;RABEPRAZOL SÓDICO;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0275937;Sim;RACECADOTRILA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272834E;Sim;RALOXIFENO;60;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0353332;Sim;RALTEGRAVIR;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C04;Sim
BR0428050;Sim;RALTEGRAVIR;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C04;Sim
BR0276258;Sim;RAMIPRIL;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276259;Sim;RAMIPRIL;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276260;Sim;RAMIPRIL;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276263;Sim;RAMIPRIL + BESILATO DE ANLODIPINO;5 + 2,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276261;Sim;RAMIPRIL + HIDROCLOROTIAZIDA;5 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276262;Sim;RAMIPRIL + HIDROCLOROTIAZIDA;5 + 25;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0376502;Sim;RANELATO DE ESTRONCIO;2;g;;;comprimido;;;1;"COMP.
";SACHE;;Não
BR0291690;Sim;REPAGLINIDA;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0291691;Sim;REPAGLINIDA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0291692;Sim;REPAGLINIDA;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0364037;Sim;RIFAMPICINA 150MG + ISONIAZIDA 75MG + PIRAZINAMIDA 400MG + ETAMBUTOL 275MG;150 + 75 + 400 + 275;mg + mg + mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0275944;Sim;RILMENIDINA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272838E;Sim;RILUZOL;50;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0272838;Sim;RILUZOL;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0296715E;Sim;RISEDRONATO;5;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0296717E;Sim;RISEDRONATO;35;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0296717;Sim;RISEDRONATO SÓDICO;35;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0395949;Sim;RISEDRONATO SÓDICO;150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268149E;Sim;RISPERIDONA;2;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272839E;Sim;RISPERIDONA;1;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0284105E;Sim;RISPERIDONA;3;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0392113;Sim;RISPERIDONA;0,25;mg;;;comprimido revestido;;;1;"COMP.
";COMPRIMIDO;C01;Sim
BR0392113/00111;Sim;RISPERIDONA;0,25;mg;;;comprimido revestido;;;1;"COMP.
";COMPRIMIDO;C01;Sim
BR0268149;Sim;RISPERIDONA;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272839;Sim;RISPERIDONA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0284105;Sim;RISPERIDONA;3;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0392114;Sim;RISPERIDONA;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0268830;Sim;RITONAVIR;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C04;Sim
BR0394103;Sim;RIVAROXABANA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412091;Sim;RIVAROXABANA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412092;Sim;RIVAROXABANA;15;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0403990;Sim;ROFLUMILASTE;500;mcg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0282881;Sim;ROSUVASTATINA CÁLCICA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0282882;Sim;ROSUVASTATINA CÁLCICA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0388392;Sim;ROSUVASTATINA CÁLCICA;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0423916;Sim;ROSUVASTATINA CÁLCICA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412431;Sim;RUPATADINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0325327;Sim;RUTINA + CASTANHA DA INDIA + EXTRATO DE MIROTON;300 + 100 + 150;UC + mg + UC;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0393034;Sim;SAXAGLIPTINA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0402991;Sim;SAXAGLIPTINA;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268299;Sim;SECNIDAZOL;1.000;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268300;Sim;SECNIDAZOL;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268072E;Sim;SELEGILINA;5;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0268073E;Sim;SELEGILINA;10;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272083E;Sim;SEVELAMER;800;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0273820E;Sim;SILDENAFILA;25;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0273821E;Sim;SILDENAFILA;50;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0319883E;Sim;SILDENAFILA;20;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0352245E;Não;SILDENAFILA;100;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0352245;Sim;SILDENAFILA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0404406;Sim;SILYBUM MARIANUM (L.) GAERTN;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412963;Sim;SIMETICONA;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267745;Sim;SINVASTATINA ;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267747;Sim;SINVASTATINA ;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267744;Sim;SINVASTATINA ;80;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267746;Sim;SINVASTATINA ;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272843;Sim;SINVASTATINA ;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0431599E;Sim;SOFOSBUVIR;400;mg;;;comprimido revestido;;;1;;COMPRIMIDO;;Sim
BR0276656;Sim;SUCCINATO DE METOPROLOL;25;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0276657;Sim;SUCCINATO DE METOPROLOL;50;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0276658;Sim;SUCCINATO DE METOPROLOL;100;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0421127;Sim;SUCCINATO DE METOPROLOL + HIDROCLOROTIAZIDA;95 + 12,5;mg + mg;;;comprimido de liberação controlada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0427719;Sim;SUCCINATO DE PRUCALOPRIDA;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0406230;Sim;SUCCINATO DE SOLIFENACINA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0406231;Sim;SUCCINATO DE SOLIFENACINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0292468;Sim;SUCCINATO DE SUMATRIPTANO;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0395950;Sim;SUCCINATO MONOIDRATADO DE DESVENLAFAXINA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0405899;Sim;SUCCINATO MONOIDRATADO DE DESVENLAFAXINA;100;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0275436;Sim;SUCRALFATO;1;g;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267765;Sim;SULFADIAZINA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Sim
BR0308882;Sim;SULFAMETOXAZOL + TRIMETOPRIMA ;400 + 80;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Sim
BR0308883;Sim;SULFAMETOXAZOL + TRIMETOPRIMA ;800 + 160;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0268153E;Sim;SULFASSALAZINA;500;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268153;Sim;SULFASSALAZINA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271391;Sim;SULFATO DE MORFINA;30;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;A01;Sim
BR0271392;Sim;SULFATO DE MORFINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;A01;Não
BR0292262-1;Sim;SULFATO DE MORFINA;100;mg;;;comprimido de liberação controlada;;;1;CAPS.;COMPRIMIDO;A01;Não
BR0292263;Sim;SULFATO DE MORFINA;30;mg;;;comprimido de liberação controlada;;;1;"COMP.
";COMPRIMIDO;A01;Sim
BR0292264;Sim;SULFATO DE MORFINA;60;mg;;;comprimido de liberação controlada;;;1;"COMP.
";COMPRIMIDO;A01;Sim
BR0292262-2;Sim;SULFATO DE MORFINA;100;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;A01;Não
BR0272131;Sim;SULFATO DE QUININA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0268302;Sim;SULFATO DE SALBUTAMOL;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0433812;Sim;SULFATO DE TRANILCIPROMINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0292344;Sim;SULFATO FERROSO (40MG DE FERRO ELEMENTAR);109;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0273621;Sim;SULFATO FERROSO (60MG DE FERRO ELEMENTAR);300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0282299;Sim;SULPIRIDA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0286632;Sim;SULPIRIDA;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0323548;Sim;SULPIRIDA + BROMAZEPAM;25 + 1;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0399799;Sim;SULTIAMO;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0332761;Sim;SUMATRIPTANA;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0329341;Sim;TADALAFILA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412833;Sim;TADALAFILA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272846;Sim;TALIDOMIDA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C03;Sim
BR0394650;Sim;TARTARATO DE METOPROLOL;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0292778;Sim;TARTARATO DE METOPROLOL + HIDROCLOROTIAZIDA;100 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0293879;Sim;TARTARATO DE TOLTERODINA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0293880;Sim;TARTARATO DE TOLTERODINA;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0328992;Sim;TARTARATO DE TOLTERODINA;4;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0340117;Sim;TARTARATO DE VARENICLINA;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0340118;Sim;TARTARATO DE VARENICLINA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0340120;Sim;TARTARATO DE VARENICLINA;0,5 + 1;mg + mg;;;comprimido;11 + 14 COMPRIMIDOS;;1;"COMP.
";COMPRIMIDO;;Não
BR0340121;Sim;TARTARATO DE VARENICLINA;0,5 + 1;mg + mg;;;comprimido;11 + 42 COMPRIMIDOS;;1;"COMP.
";COMPRIMIDO;;Não
BR0340122;Sim;TARTARATO DE VARENICLINA;0,5 + 1;mg + mg;;;comprimido;11 + 154 COMPRIMIDOS;;1;"COMP.
";COMPRIMIDO;;Não
BR0273619;Sim;TECLOZANA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0331296;Sim;TEGASERODE;6;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412470E;Sim;TELAPREVIR;375;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0412470;Sim;TELAPREVIR;375;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276965;Sim;TELMISARTANA;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276966;Sim;TELMISARTANA;80;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0426208;Sim;TELMISARTANA + ANLODIPINO;80 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0284426;Sim;TELMISARTANA + HIDROCLOROTIAZIDA;40 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0284427;Sim;TELMISARTANA + HIDROCLOROTIAZIDA;80 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268825;Sim;TENOFOVIR;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0268825E;Sim;TENOFOVIR;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C04;Não
BR0268531;Sim;TENOXICAM;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267415;Sim;TEOFILINA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268155;Sim;TIABENDAZOL;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0273700;Sim;TIAMAZOL;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0287824;Sim;TIAMAZOL;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0392617;Sim;TIANFENICOL;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0292029;Sim;TIBOLONA;1,25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0292030;Sim;TIBOLONA;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0400852;Sim;TICAGRELOR;90;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0278257;Sim;TINIDAZOL;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0278259;Sim;TIOCOLCHICOSÍDEO;4;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0276867-1;Sim;TIOCONAZOL + TINIDAZOL + SECNIDAZOL;PROB;;;;;35;g;1;UN.;UM;;Não
BR0272847E;Sim;TOLCAPONA;100;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272848;Sim;TOLCAPONA;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272849E;Sim;TOPIRAMATO;25;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272850E;Sim;TOPIRAMATO;50;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272851E;Sim;TOPIRAMATO;100;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0272849;Sim;TOPIRAMATO;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272850;Sim;TOPIRAMATO;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272851;Sim;TOPIRAMATO;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0330335;Sim;TOSILATO DE SORAFENIBE;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0328361;Sim;TRATAMENTO MULTIBACILAR;PROB;;;;comprimido;;;30;DOSE;BLISTER;ANTIMICROBIANOS;Sim
BR0328362;Sim;TRATAMENTO MULTIBACILAR;PROB;;;;comprimido;;;30;DOSE;BLISTER;ANTIMICROBIANOS;Sim
BR0328363;Sim;TRATAMENTO PAUCIBACILAR;PROB;;;;comprimido;;;30;DOSE;BLISTER;ANTIMICROBIANOS;Sim
BR0328364;Sim;TRATAMENTO PAUCIBACILAR;PROB;;;;comprimido;;;30;DOSE;BLISTER;ANTIMICROBIANOS;Sim
BR0272852E;Sim;TRIEXIFENIDIL;5;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0382197;Sim;TRIMETAZIDINA;35;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0368799;Sim;UBIDECARENONA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0415781;Sim;VALERATO DE ESTRADIOL + ENANTATO DE NORETISTERONA;1 + 0,5;mg + mg;;;comprimido;;;28;CART.;CARTAO;;Não
BR0433517;Sim;VALERATO DE ESTRADIOL+DIENOGESTE;8 + 5;mg + mg;;;comprimido de liberação controlada;;;1;CART.;CARTELA;;Não
BR0432781;Sim;VALERIANA OFFICINALIS (EXTRATO SECO);225,75;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0407036;Sim;VALERIANA OFFICINALIS L + HUMULUS LUPULUS L;250 + 60;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0274438;Sim;VALSARTANA;80;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0306145;Sim;VALSARTANA;160;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0306146;Sim;VALSARTANA;320;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0376357;Sim;VALSARTANA;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0357061;Sim;VALSARTANA + BESILATO DE ANLODIPINO;80 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0357062;Sim;VALSARTANA + BESILATO DE ANLODIPINO;160 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0357063;Sim;VALSARTANA + BESILATO DE ANLODIPINO;320 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0357068;Sim;VALSARTANA + BESILATO DE ANLODIPINO;320 + 10;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0393808;Sim;VALSARTANA + BESILATO DE ANLODIPINO;160 + 10;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0292790;Sim;VALSARTANA + HIDROCLOROTIAZIDA;80 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
