"CO_SEQ_ID";"NU_ISID";"NO_NM";"NO_NM_PT_BR";"CO_DCBCD";"CO_NCAS";"NO_DESCR_PT_BR"
"9055";"@brasil11183651899";"indinavir";"indinavir";"04882";"150378-17-9";"DCB"
"9056";"@brasil14808009903";"indobufeno";"indobufeno";"04884";"63610-08-2";"DCB"
"9057";"@brasil10489094126";"indometacin";"indometacina";"04889";"53-86-1";"DCB"
"9058";"@brasil18021441228";"indoramin";"indoramina";"04894";"26844-12-2";"DCB"
"9059";"@brasil18639924076";"infliximab";"infliximabe";"04899";"170277-31-3";"DCB"
"9060";"@brasil19135297003";"inosine";"inosina";"04906";"58-63-9";"DCB"
"9061";"@brasil19756713097";"inosine pranobex";"inosina pranobex";"04907";"36703-88-5";"DCB"
"9062";"@brasil11377674788";"inositol";"inositol";"09460";"87-89-8";"DCB"
"9063";"@brasil17618234954";"insulina";"insulina";"04908";"11070-73-8";"DCB"
"9064";"@brasil13958150718";"insulin aspart";"insulina asparte";"04910";"116094-23-6";"DCB"
"9065";"@brasil16936049037";"insulin aspart protamine";"insulina asparte protamina";"09553";\N;"DCB"
"9066";"@brasil12805793342";"insulina bifásica";"insulina bifásica";"04911";"8063-29-4";"DCB"
"9067";"@brasil13220819907";"insulin degludec";"insulina degludeca";"10642";"844439-96-9";"DCB"
"9068";"@brasil17686719815";"insulin detemir";"insulina detemir";"04914";"169148-63-4";"DCB"
"9069";"@brasil18771139669";"insulin glargine";"insulina glargina";"04915";"160337-95-1";"DCB"
"9070";"@brasil10795539207";"insulin glulisine";"insulina glulisina";"04917";"207748-29-6";"DCB"
"9071";"@brasil17664277335";"insulin human";"insulina humana";"04918";"11061-68-0";"DCB"
"9072";"@brasil15934769366";"isophane insulin";"insulina isofana";"04919";"8052-74-2";"DCB"
"9073";"@brasil16681015132";"insulin lispro";"insulina lispro";"04920";"133107-64-9";"DCB"
"9074";"@brasil15600767875";"insulina zíncica";"insulina zíncica";"04923";"8049-62-5";"DCB"
"9075";"@brasil17960794284";"insulina zíncica protamina";"insulina zíncica protamina";"04922";"9004-17-5";"DCB"
"9076";"@brasil13001668110";"interferona 1 alfacona";"interferona 1 alfacona";"04926";"118390-30-0";"DCB"
"9077";"@brasil11125958003";"iobitridol";"iobitridol";"04933";"136949-58-1";"DCB"
"9078";"@brasil16624785992";"iodamide";"iodamida";"04934";"440-58-4";"DCB"
"9079";"@brasil19746056262";"iodamida meglumina";"iodamida meglumina";"04935";"18656-21-8";"DCB"
"9080";"@brasil18855923644";"potassium iodate";"iodato de potássio";"04938";"7758-05-6";"DCB"
"9081";"@brasil15041449743";"iodeto de ditiazanina";"iodeto de ditiazanina";"04948";"514-73-8";"DCB"
"9082";"@brasil18639478093";"iodeto de ecotiopato";"iodeto de ecotiopato";"04949";"513-10-0";"DCB"
"9083";"@brasil18073041547";"potassium iodide";"iodeto de potássio";"04965";"7681-11-0";"DCB"
"9084";"@brasil14446773764";"sodium iodide";"iodeto de sódio";"04969";"7681-82-5";"DCB"
"9085";"@brasil18014744488";"iodeto de sódio (123 i)";"iodeto de sódio (123 i)";"09741";"41927-88-2";"DCB"
"9086";"@brasil16733401459";"iodeto de sódio (131 i)";"iodeto de sódio (131 i)";"04972";"7790-26-3";"DCB"
"9087";"@brasil19622774140";"iodeto de timol";"iodeto de timol";"08602";"552-22-7";"DCB"
"9088";"@brasil17913666633";"iodixanol";"iodixanol";"04982";"92339-11-2";"DCB"
"9089";"@brasil10700011057";"iodine";"iodo";"04983";"7553-56-2";"DCB"
"9090";"@brasil19759055690";"iodoform";"iodofórmio";"04985";"75-47-8";"DCB"
"9091";"@brasil16695245592";"iodoipurato de sódio (123 i)";"iodoipurato de sódio (123 i)";"09743";"56254-07-0";"DCB"
"9092";"@brasil14199061200";"iodoipurato de sódio (131 i)";"iodoipurato de sódio (131 i)";"04987";"881-17-4";"DCB"
"9093";"@brasil10909569533";"povidone-iodine";"iodopovidona";"04990";"25655-41-8";"DCB"
"9094";"@brasil11950664371";"iohexol";"ioexol";"04993";"66108-95-0";"DCB"
"9095";"@brasil17024613567";"iofendylate";"iofendilato";"04994";"99-79-6";"DCB"
"9096";"@brasil19271075033";"ioflupano (123 i)";"ioflupano (123 i)";"04996";"155798-07-5";"DCB"
"9097";"@brasil15281534775";"ioimbina";"ioimbina";"05000";"146-48-5";"DCB"
"9098";"@brasil18594449084";"iomazenil (123 i)";"iomazenil (123 i)";"09745";"127396-36-5";"DCB"
"9099";"@brasil17127641407";"iomeprol";"iomeprol";"05004";"78649-41-9";"DCB"
"9100";"@brasil19854860089";"iopamidol";"iopamidol";"05008";"60166-93-0";"DCB"
"9101";"@brasil17891376536";"sodium iopodate";"iopodato de sódio";"05012";"1221-56-3";"DCB"
"9102";"@brasil19892302721";"iopromide";"iopromida";"05013";"73334-07-3";"DCB"
"9103";"@brasil15787384308";"megulmine iotalamate";"iotalamato de meglumina";"05594";"13087-53-1";"DCB"
"9104";"@brasil19260013687";"iotalamato de sódio (125 i)";"iotalamato de sódio (125 i)";"00259";"17692-74-9";"DCB"
"9105";"@brasil18937915821";"iotrolan";"iotrolana";"05019";"79770-24-4";"DCB"
"9106";"@brasil16909538353";"meglumine iotroxate";"iotroxato de meglumina";"05595";"68890-05-1";"DCB"
"9107";"@brasil17733944613";"ioversol";"ioversol";"05020";"87771-40-2";"DCB"
"9108";"@brasil17941108314";"meglumine ioxaglate";"ioxaglato de meglumina";"05596";"59018-13-2";"DCB"
"9109";"@brasil16503708041";"sodium ioxaglate";"ioxaglato de sódio";"00267";"67992-58-9";"DCB"
"9110";"@brasil18695215570";"ioxilan";"ioxilana";"05021";"107793-72-6";"DCB"
"9111";"@brasil13964954039";"ioxitalamate meglumine";"ioxitalamato de meglumina";"05598";"29288-99-1";"DCB"
"9112";"@brasil13739123793";"ioxitalamato de sódio";"ioxitalamato de sódio";"00269";"33954-26-6";"DCB"
"9113";"@brasil16800757157";"ipecacuanha";"ipecacuanha";"10364";\N;"DCB"
"9114";"@brasil12786414717";"ipilimumab";"ipilimumabe";"09642";"477202-00-9";"DCB"
"9115";"@brasil13529802423";"ipriflavona";"ipriflavona";"05032";"35212-22-7";"DCB"
"9116";"@brasil19289768270";"iprindole";"iprindol";"05033";"5560-72-5";"DCB"
"9117";"@brasil15859434394";"iproniazide";"iproniazida";"05037";"54-92-2";"DCB"
"9118";"@brasil11427867468";"ipronidazol";"ipronidazol";"05038";"14885-29-1";"DCB"
"9119";"@brasil19561034466";"irbesartan";"irbesartana";"05049";"138402-11-6";"DCB"
"9120";"@brasil13521570239";"irinotecan";"irinotecano";"05051";"97682-44-5";"DCB"
"9121";"@brasil18924748103";"iris versicolor";"iris versicolor";"10365";\N;"DCB"
"9122";"@brasil14059030108";"hexamidine isethionate";"isetionato de hexamidina";"04629";"659-40-5";"DCB"
"9123";"@brasil13520906541";"pentamidine isetionate";"isetionato de pentamidina";"06928";"140-64-7";"DCB"
"9124";"@brasil15427442690";"isoaminile";"isoaminila";"05070";"77-51-0";"DCB"
"9125";"@brasil16574494135";"testosterone isocaproate";"isocaproato de testosterona";"08457";"15262-86-9";"DCB"
"9126";"@brasil16590142915";"isocarboxazid";"isocarboxazida";"05074";"59-63-2";"DCB"
"9127";"@brasil13227232482";"isoconazole";"isoconazol";"05075";"27523-40-6";"DCB"
"9128";"@brasil16365733970";"isoetarine";"isoetarina";"05078";"530-08-5";"DCB"
"9129";"@brasil12146972716";"isoflavona";"isoflavona";"11176";"574-12-9";"DCB"
"9130";"@brasil11637661978";"isoflupredona";"isoflupredona";"05081";"338-95-4";"DCB"
"9131";"@brasil11747392053";"isoflurane";"isoflurano";"05082";"26675-46-7";"DCB"
"9132";"@brasil13823974637";"isoleucine";"isoleucina";"05083";"73-32-5";"DCB"
"9133";"@brasil13877697337";"isometepteno";"isometepteno";"05089";"503-01-5";"DCB"
"9134";"@brasil17916563084";"isoniazid";"isoniazida";"05092";"54-85-3";"DCB"
"9135";"@brasil17949723718";"dexamethasone isonicotinate";"isonicotinato de dexametasona";"02822";"2265-64-7";"DCB"
"9136";"@brasil15998929649";"isoprenaline";"isoprenalina";"05096";"7683-59-2";"DCB"
"8421";"@brasil10461351703";"imipramine pamoate ";"pamoato de imipramina";\N;\N;"SNOMED CT"
"7599";"@brasil16198394284";"cinnabaris";"cinnabaris";\N;\N;"Outro"
"9137";"@brasil16145477401";"isopropamida";"isopropamida";"05100";"7492-32-2";"DCB"
"9138";"@brasil12730598367";"isossafrol";"isossafrol";"11074";"120-58-1";"DCB"
"9139";"@brasil15216559938";"isossorbida";"isossorbida";"05103";"652-67-5";"DCB"
"9140";"@brasil17891004901";"isotiocianato de alila";"isotiocianato de alila";"09889";"57-06-7";"DCB"
"9141";"@brasil13805345000";"isotretinoin";"isotretinoína";"05110";"4759-48-2";"DCB"
"9142";"@brasil15353710608";"isoxsuprina";"isoxsuprina";"05114";"395-28-8";"DCB"
"9143";"@brasil15352518347";"isradipine";"isradipino";"05117";"75695-93-1";"DCB"
"9144";"@brasil10701460223";"itraconazole";"itraconazol";"05122";"84625-61-6";"DCB"
"9145";"@brasil17449746379";"ivabradine";"ivabradina";"09554";"155974-00-8";"DCB"
"9146";"@brasil15144351537";"ivermectin";"ivermectina";"05128";"70288-86-7";"DCB"
"9147";"@brasil13372518859";"jateorhiza palmata (lam.) miers";"jateorhiza palmata (lam.) miers";"10725";\N;"DCB"
"9148";"@brasil11429539993";"josamicina";"josamicina";"05131";"16846-24-5";"DCB"
"9149";"@brasil17030143696";"juniperus sabina l.";"juniperus sabina l.";"11233";\N;"DCB"
"9150";"@brasil10862098810";"kali aceticum";"kali aceticum";"10367";\N;"DCB"
"9151";"@brasil13220063272";"kali bichromicum";"kali bichromicum";"10369";\N;"DCB"
"9152";"@brasil13514020239";"kali bromatum";"kali bromatum";"10370";\N;"DCB"
"9153";"@brasil17909911690";"kali chloricum";"kali chloricum";"10373";\N;"DCB"
"9154";"@brasil19007498041";"kreosotum";"kreosotum";"10383";\N;"DCB"
"9155";"@brasil11307755448";"labetalol";"labetalol";"05132";"36894-69-6";"DCB"
"9156";"@brasil19516283420";"lachesis mutus";"lachesis mutus";"10387";\N;"DCB"
"9157";"@brasil13658151069";"lacidipine";"lacidipino";"05136";"103890-78-4";"DCB"
"9158";"@brasil19741905394";"lacosamide";"lacosamida";"03501";"175481-36-4";"DCB"
"9159";"@brasil17735074074";"ammonium lactate";"lactato de amônio";"05138";"52003-58-4";"DCB"
"9160";"@brasil19449654498";"lactato de anrinona";"lactato de anrinona";"00809";"75898-90-7";"DCB"
"9161";"@brasil14043050578";"biperiden lactate";"lactato de biperideno";"01284";"7085-45-2";"DCB"
"9162";"@brasil11866289703";"calcium lactate";"lactato de cálcio";"00275";"814-80-2";"DCB"
"9163";"@brasil17202297090";"lactato de ciprofloxacino";"lactato de ciprofloxacino";"02139";"97867-33-9";"DCB"
"9164";"@brasil10412616654";"lactato de etacridina";"lactato de etacridina";"03636";"1837-57-6";"DCB"
"9165";"@brasil10456192306";"magnesium lactate";"lactato de magnésio";"00277";"18917-93-6";"DCB"
"9166";"@brasil11043111877";"milrinone lactate";"lactato de milrinona";"05964";"100286-97-3";"DCB"
"9167";"@brasil13846982775";"pentazocine lactate";"lactato de pentazocina";"06936";"17146-95-1";"DCB"
"9168";"@brasil16105578555";"sodium lactate";"lactato de sódio";"00278";"72-17-3";"DCB"
"9169";"@brasil18986944758";"lactato de zinco";"lactato de zinco";"09462";"16039-53-5";"DCB"
"9170";"@brasil16617988436";"lactitol";"lactitol";"05140";"585-86-4";"DCB"
"9171";"@brasil16129108215";"calcium lactobionate";"lactobionato de cálcio";"05141";"5001-51-4";"DCB"
"9172";"@brasil10791576075";"erythromycin lactobionate";"lactobionato de eritromicina";"03496";"3847-29-8";"DCB"
"9173";"@brasil15570556040";"calcium lactate gluconate";"lactogliconato de cálcio";"05143";"52080-72-5";"DCB"
"9174";"@brasil15478052286";"lactose";"lactose";"05144";"63-42-3";"DCB"
"9175";"@brasil10678593618";"lactulose";"lactulose";"05147";"4618-18-2";"DCB"
"9176";"@brasil16958811539";"lamivudine";"lamivudina";"05152";"134678-17-4";"DCB"
"9177";"@brasil12758277153";"lamotrigine";"lamotrigina";"05153";"84057-84-1";"DCB"
"9178";"@brasil12914951454";"lanatosídeo c";"lanatosídeo c";"05156";"17575-22-3";"DCB"
"9179";"@brasil16299926121";"lanolina";"lanolina";"05161";"8006-54-0";"DCB"
"9180";"@brasil12754776553";"lanreotide";"lanreotida";"05163";"108736-35-2";"DCB"
"9181";"@brasil14874104711";"lansoprazole";"lansoprazol";"05165";"103577-45-3";"DCB"
"9182";"@brasil16106194205";"laronidase";"laronidase";"05171";"210589-09-6";"DCB"
"9183";"@brasil15908657204";"laropiprant";"laropipranto";"09651";"571170-77-9";"DCB"
"9184";"@brasil11224703714";"lasalocida";"lasalocida";"05172";"25999-31-9";"DCB"
"9185";"@brasil18397547264";"latanoprost";"latanoprosta";"05175";"130209-82-4";"DCB"
"9186";"@brasil18313625488";"sodium lauryl sulfate";"laurilsulfato de sódio";"05178";"151-21-3";"DCB"
"9187";"@brasil16375485960";"lecitina de ovo";"lecitina de ovo";"05187";"8002-43-5";"DCB"
"9188";"@brasil16936553646";"soy lecithin";"lecitina de soja";"09542";"8030-76-0";"DCB"
"9189";"@brasil15556310661";"ledipasvir";"ledipasvir";"11224";"1256388-51-8";"DCB"
"9190";"@brasil16971892672";"leflunomide";"leflunomida";"05192";"75706-12-6";"DCB"
"9191";"@brasil18190531689";"lemperona";"lemperona";"05197";"24678-13-5";"DCB"
"9192";"@brasil10036980741";"lenalidomide";"lenalidomida";"09655";"191732-72-6";"DCB"
"9193";"@brasil15613308943";"lenograstim";"lenograstim";"05201";"135968-09-1";"DCB"
"9194";"@brasil17955602804";"lenvatinib";"lenvatinibe";"11116";"417716-92-8";"DCB"
"9195";"@brasil12938087500";"lepirudin";"lepirudina";"05202";"138068-37-8";"DCB"
"9196";"@brasil10823629395";"lercanidipino";"lercanidipino";"05204";"100427-26-7";"DCB"
"9197";"@brasil15303884785";"lergotrila";"lergotrila";"05207";"36945-03-6";"DCB"
"9198";"@brasil14048536049";"letrozole";"letrozol";"05213";"112809-51-5";"DCB"
"9199";"@brasil14331026200";"leucine";"leucina";"05215";"61-90-5";"DCB"
"9200";"@brasil19509523163";"leuprorelin";"leuprorrelina";"05219";"53714-56-0";"DCB"
"9201";"@brasil14554537528";"levalorfano";"levalorfano";"05223";"152-02-3";"DCB"
"9202";"@brasil14244118456";"levamisole";"levamisol";"05224";"14769-73-4";"DCB"
"9203";"@brasil17556980006";"levanfetamina";"levanfetamina";"05227";"156-34-3";"DCB"
"9204";"@brasil15052544971";"yeast";"levedura";"09486";\N;"DCB"
"9205";"@brasil12591785147";"levetiracetam";"levetiracetam";"05232";"102767-28-2";"DCB"
"9206";"@brasil17801291128";"levobetaxolol";"levobetaxolol";"05235";"93221-48-8";"DCB"
"9207";"@brasil11231100512";"levobunolol";"levobunolol";"05237";"47141-42-4";"DCB"
"9208";"@brasil12751629484";"levobupivacaine";"levobupivacaína";"05239";"27262-47-1";"DCB"
"9209";"@brasil10064846192";"levocabastine";"levocabastina";"05240";"79516-68-0";"DCB"
"9210";"@brasil12069342816";"l-carnitine";"levocarnitina";"05242";"541-15-1";"DCB"
"9211";"@brasil10152175816";"levocetirizine";"levocetirizina";"05244";"130018-77-8";"DCB"
"9212";"@brasil14552850940";"levodopa";"levodopa";"05249";"59-92-7";"DCB"
"9213";"@brasil12307727561";"levodropropizine";"levodropropizina";"05250";"99291-25-5";"DCB"
"9214";"@brasil17880085293";"levofloxacin";"levofloxacino";"05257";"100986-85-4";"DCB"
"9215";"@brasil12477244093";"levofloxacin hemihydrate";"levofloxacino hemi-hidratado";"10688";"138199-71-0";"DCB"
"9216";"@brasil18745964892";"calcium levofolinate";"levofolinato de cálcio";"05258";"80433-71-2";"DCB"
"9217";"@brasil16298092496";"levomefolato de cálcio";"levomefolato de cálcio";"09937";"151533-22-1";"DCB"
"9218";"@brasil15252568110";"levomenol";"levomenol";"05261";"23089-26-1";"DCB"
"9219";"@brasil17368563372";"levomenthol";"levomentol";"05262";"2216-51-5";"DCB"
"9220";"@brasil11085112839";"l-methionine";"levometionina";"05839";"63-68-3";"DCB"
"9221";"@brasil13319874388";"levomilnacipran";"levomilnaciprana";"11265";"96847-55-0";"DCB"
"9222";"@brasil13344033734";"levonorgestrel";"levonorgestrel";"05279";"797-63-7";"DCB"
"9223";"@brasil16760545815";"levopropoxifeno";"levopropoxifeno";"05283";"2338-37-6";"DCB"
"9224";"@brasil13770628182";"levorfanol";"levorfanol";"05285";"77-07-6";"DCB"
"9225";"@brasil18571503773";"levosimendan";"levosimendana";"05291";"141505-33-1";"DCB"
"9226";"@brasil11545634633";"levosulpiride";"levossulpirida";"05293";"23672-07-3";"DCB"
"9227";"@brasil12013662150";"levothyroxine";"levotiroxina";"05294";"51-48-9";"DCB"
"9228";"@brasil15431407162";"levothyroxine sodium";"levotiroxina sódica";"05295";"55-03-8";"DCB"
"9229";"@brasil11116049671";"l-valine";"levovalina";"09076";"72-18-4";"DCB"
"9230";"@brasil19286027175";"calcium levulinate";"levulinato de cálcio";"05299";"591-64-0";"DCB"
"9231";"@brasil13081987175";"licopeno";"licopeno";"09488";"502-65-8";"DCB"
"9232";"@brasil17551854658";"lidocaine";"lidocaína";"05313";"137-58-6";"DCB"
"9233";"@brasil18513312075";"lidofenina";"lidofenina";"05315";"59160-29-1";"DCB"
"9234";"@brasil19910996712";"lidoflazina";"lidoflazina";"05316";"3416-26-0";"DCB"
"9235";"@brasil14015047645";"lymecycline";"limeciclina";"05322";"992-21-2";"DCB"
"9236";"@brasil10342248398";"limoneno";"limoneno";"10667";"138-86-3";"DCB"
"9237";"@brasil19666099359";"linaclotide";"linaclotida";"11118";"851199-59-2";"DCB"
"9238";"@brasil17303751917";"linagliptin";"linagliptina";"09829";"668270-12-0";"DCB"
"9239";"@brasil17520461814";"lincomycin";"lincomicina";"05324";"154-21-2";"DCB"
"9240";"@brasil15691053628";"lindane";"lindano";"05326";"58-89-9";"DCB"
"9241";"@brasil15893883010";"lynestrenol";"linestrenol";"05327";"52-76-6";"DCB"
"9242";"@brasil12396254475";"linezolid";"linezolida";"05328";"165800-03-3";"DCB"
"9243";"@brasil14299623652";"liotironina";"liotironina";"05334";"6893-02-3";"DCB"
"9244";"@brasil14309355144";"liothyronine sodium";"liotironina sódica";"05338";"55-06-1";"DCB"
"9245";"@brasil18647905072";"lipase";"lipase";"09489";"9014-49-7";"DCB"
"9246";"@brasil10311460242";"lipegfilgrastim";"lipegfilgrastim";"10921";"1117844-87-7";"DCB"
"9247";"@brasil15613586300";"lipressina";"lipressina";"05340";"50-57-7";"DCB"
"9248";"@brasil17133551086";"liraglutide";"liraglutida";"09666";"204656-20-2 ";"DCB"
"9249";"@brasil18826996839";"lisdexamfetamine";"lisdexanfetamina";"09708";"608137-32-2";"DCB"
"9250";"@brasil12734331247";"lisergida";"lisergida";"05346";"50-37-3";"DCB"
"9251";"@brasil17190666026";"lysine";"lisina";"05347";"56-87-1";"DCB"
"9252";"@brasil17750336700";"lisinato de cetoprofeno";"lisinato de cetoprofeno";"01961";"57469-78-0";"DCB"
"9253";"@brasil17179685733";"levolisinato de raceibuprofeno";"levolisinato de raceibuprofeno";"04775";"57469-76-8";"DCB"
"9254";"@brasil12647418874";"lisinopril";"lisinopril";"05352";"76547-98-3";"DCB"
"9255";"@brasil11698037479";"lisinopril di-hidratado";"lisinopril di-hidratado";"09491";"83915-83-7";"DCB"
"9256";"@brasil10547931082";"lysozyme";"lisozima";"05355";"9001-63-2";"DCB"
"9257";"@brasil17645543278";"lisuride";"lisurida";"05357";"18016-80-3";"DCB"
"9258";"@brasil16583923459";"lixisenatide";"lixisenatida";"10643";"320367-13-3";"DCB"
"9259";"@brasil19982987770";"lobelia inflata";"lobelia inflata";"10399";\N;"DCB"
"9260";"@brasil10163168785";"lobelina";"lobelina";"05368";"90-69-7";"DCB"
"9261";"@brasil10866880919";"lodoxamide";"lodoxamida";"05380";"53882-12-5";"DCB"
"9262";"@brasil13844898550";"lodoxamide trometamol";"lodoxamida trometamol";"09610";"63610-09-3";"DCB"
"9263";"@brasil16623850301";"lofepramine";"lofepramina";"05385";"23047-25-8";"DCB"
"9264";"@brasil11584556168";"lofexidine";"lofexidina";"05387";"31036-80-3";"DCB"
"9265";"@brasil18051230242";"lomefloxacin";"lomefloxacino";"05392";"98079-51-7";"DCB"
"9266";"@brasil15502483019";"lomitapide";"lomitapida";"10810";"182431-12-5";"DCB"
"9267";"@brasil13358724677";"lomustine";"lomustina";"05399";"13010-47-4";"DCB"
"9268";"@brasil10286174639";"loperamide";"loperamida";"05404";"53179-11-6";"DCB"
"9269";"@brasil11354699470";"lopinavir";"lopinavir";"05407";"192725-17-0";"DCB"
"9270";"@brasil15914973741";"loprazolam";"loprazolam";"05410";"61197-73-7";"DCB"
"9271";"@brasil15510770607";"loracarbefe";"loracarbefe";"05413";"76470-66-1";"DCB"
"9272";"@brasil19808932121";"loratadine";"loratadina";"05416";"79794-75-5";"DCB"
"9273";"@brasil12512349096";"lorazepam";"lorazepam";"05417";"846-49-1";"DCB"
"9274";"@brasil13134949423";"lorcasserina";"lorcasserina";"10853";"616202-92-7";"DCB"
"9275";"@brasil18137700135";"lormetazepam";"lormetazepam";"05426";"848-75-9";"DCB"
"9276";"@brasil11283652717";"lornoxicam";"lornoxicam";"05427";"70374-39-9";"DCB"
"9277";"@brasil12005163487";"losartana";"losartana";"05431";"114798-26-4";"DCB"
"9278";"@brasil16174859594";"losartan potassium";"losartana potássica";"05432";"124750-99-8";"DCB"
"9279";"@brasil14858807822";"loteprednol";"loteprednol";"05438";"129260-79-3";"DCB"
"9280";"@brasil15769460633";"lovastatin";"lovastatina";"05444";"75330-75-5";"DCB"
"9281";"@brasil14270880010";"loxapine";"loxapina";"05447";"1977-10-2";"DCB"
"9282";"@brasil14046018461";"loxoprofeno sódico";"loxoprofeno sódico";"05451";"80382-23-6";"DCB"
"9283";"@brasil17417452582";"lubiprostone";"lubiprostona";"11324";"136790-76-6";"DCB"
"9284";"@brasil14949207839";"lucantona";"lucantona";"05455";"479-50-5";"DCB"
"9285";"@brasil12493681759";"lufenurona";"lufenurona";"05459";"103055-07-8";"DCB"
"9286";"@brasil17620785586";"luffa operculata";"luffa operculata";"10400";\N;"DCB"
"9287";"@brasil10622882963";"lumefantrine";"lumefantrina";"05462";"82186-77-4";"DCB"
"9288";"@brasil10252058365";"lumiracoxib";"lumiracoxibe";"09334";"220991-20-8";"DCB"
"9289";"@brasil19391643244";"luprostiol";"luprostiol";"05464";"67110-79-6";"DCB"
"9290";"@brasil16202041436";"lurasidone";"lurasidona";"10982";"367514-87-2";"DCB"
"9291";"@brasil12835277758";"lusupultide";"lusupultida";"05468";"200074-80-2";"DCB"
"9292";"@brasil15570264788";"lycopodium clavatum";"lycopodium clavatum";"10402";\N;"DCB"
"9293";"@brasil19345490976";"macitentan";"macitentana";"10983";"441798-33-0";"DCB"
"9294";"@brasil10016660829";"macrogol";"macrogol";"05474";"25322-68-3";"DCB"
"9295";"@brasil12046831520";"maduramicin";"maduramicina";"05478";"84878-61-5";"DCB"
"9296";"@brasil10184175427";"mafenide";"mafenida";"05479";"138-39-6";"DCB"
"9297";"@brasil14780382880";"magaldrate";"magaldrato";"05483";"74978-16-8";"DCB"
"9298";"@brasil13349388429";"malato de pizotifeno";"malato de pizotifeno";"07241";"5189-11-7";"DCB"
"9299";"@brasil12405793816";"sunitinib malate";"malato de sunitinibe";"09465";"341031-54-7";"DCB"
"9300";"@brasil11980804103";"acepromazine maleate";"maleato de acepromazina";"00045";"3598-37-6";"DCB"
"9301";"@brasil12686639373";"amlodipine maleate";"maleato de anlodipino";"00806";"88150-47-4";"DCB"
"9302";"@brasil17490784866";"asenapine maleate";"maleato de asenapina";"09643";"85650-56-2";"DCB"
"9303";"@brasil19394006521";"brompheniramine maleate";"maleato de bronfeniramina";"01478";"980-71-2";"DCB"
"9304";"@brasil14497678319";"carbinoxamine maleate";"maleato de carbinoxamina";"01737";"3505-38-2";"DCB"
"9305";"@brasil14306372341";"chlorpheniramine maleate";"maleato de clorfeniramina";"02442";"113-92-8";"DCB"
"9306";"@brasil18038827056";"dexbrompheniramine maleate";"maleato de dexbronfeniramina";"02833";"2391-03-9";"DCB"
"9307";"@brasil17275018566";"dexchlorpheniramine maleate";"maleato de dexclorfeniramina";"02839";"2438-32-6";"DCB"
"9308";"@brasil12258611974";"dimetindene maleate";"maleato de dimetindeno";"03070";"3614-69-5";"DCB"
"9309";"@brasil19468004477";"domperidone maleate";"maleato de domperidona";"03180";"99497-03-7";"DCB"
"9310";"@brasil10564186777";"enalapril maleate";"maleato de enalapril";"03370";"76095-16-4";"DCB"
"9311";"@brasil14416920759";"ergometrine maleate";"maleato de ergometrina";"03483";"129-51-1";"DCB"
"9312";"@brasil10392043776";"pheniramine maleate";"maleato de feniramina";"03948";"132-20-7";"DCB"
"9313";"@brasil18709456908";"fluvoxamine maleate";"maleato de fluvoxamina";"04235";"61718-82-9";"DCB"
"9314";"@brasil12371153525";"indacaterol maleate";"maleato de indacaterol";"09709";"753498-25-8";"DCB"
"9315";"@brasil15727397207";"levomepromazine maleate";"maleato de levomepromazina";"05265";"7104-38-3";"DCB"
"9316";"@brasil11523525771";"lisuride maleate";"maleato de lisurida";"05358";"19875-60-6";"DCB"
"9317";"@brasil10435437540";"mepyramine maleate";"maleato de mepiramina";"05652";"59-33-6";"DCB"
"9318";"@brasil17606610698";"methylergometrine maleate";"maleato de metilergometrina";"05802";"57432-61-8";"DCB"
"9319";"@brasil16726741180";"midazolam maleate";"maleato de midazolam";"05939";"59467-94-6";"DCB"
"9320";"@brasil10813874117";"maleato de pimetixeno";"maleato de pimetixeno";"07061";"13187-06-9";"DCB"
"9321";"@brasil13889147352";"rosiglitazone maleate";"maleato de rosiglitazona";"07813";"155141-29-0";"DCB"
"9322";"@brasil17004114720";"tegaserod maleate";"maleato de tegaserode";"09493";"189188-57-6";"DCB"
"9323";"@brasil13353131852";"timolol maleate";"maleato de timolol";"08604";"26921-17-5";"DCB"
"9324";"@brasil15753315411";"trimebutine maleate";"maleato de trimebutina";"08910";"34140-59-5";"DCB"
"9325";"@brasil18707181808";"trimipramine maleate";"maleato de trimipramina";"08928";"521-78-8";"DCB"
"9326";"@brasil16275963116";"maltitol";"maltitol";"10970";"585-88-6";"DCB"
"9327";"@brasil15258270468";"maltose";"maltose";"05488";"69-79-4";"DCB"
"9328";"@brasil17463463298";"malva sylvestris l.";"malva sylvestris l.";"09911";\N;"DCB"
"9329";"@brasil11542505398";"methenamine mandelate";"mandelato de metenamina";"05766";"587-23-5";"DCB"
"9330";"@brasil15322137403";"mangafodipir";"mangafodipir";"05489";"155319-91-8";"DCB"
"9331";"@brasil11983171133";"mannitol";"manitol";"10689";"69-65-8";"DCB"
"9332";"@brasil13949443765";"maprotiline";"maprotilina";"05498";"10262-69-8";"DCB"
"9333";"@brasil13797705734";"maraviroc";"maraviroque";"09624";"376348-65-1";"DCB"
"9334";"@brasil17140197684";"masoprocol";"masoprocol";"05507";"27686-84-6";"DCB"
"9335";"@brasil14307871528";"matricaria chamomilla l.";"matricaria chamomilla l.";"10832";\N;"DCB"
"9336";"@brasil10118764898";"matricaria recutita l.";"matricaria recutita l.";"10876";\N;"DCB"
"9337";"@brasil17670210214";"maytenus ilicifolia mart. ex reissek";"maytenus ilicifolia mart. ex reissek";"10877";\N;"DCB"
"9338";"@brasil17994756685";"mazindol";"mazindol";"05511";"22232-71-9";"DCB"
