"CO_SEQ_ID";"NU_VPID";"NO_NM";"principio";"cat_anvisa";"renam";"NU_SNOMED";"atc";"route";"ingredientes_conc_unid";"form"
"408281";"@brasil16996767898";"Amoxicilina 50 mg/mL suspensão oral";"Amoxicilina";"Penicilina de amplo espectro";"Básico";"323733007";"J01CA04 amoxicilina";"Oral";"amoxicilina tri-hidratada 50.000 mg (Miligrama)";"Pó para suspensão oral"
"790598";"@brasil18599704519";"Amoxicilina 500 mg + Ácido Clavulânico 100 mg pó e diluente para solução para injeção; frasco-ampola";"Amoxicilina + Ácido Clavulânico";"Antibióticos sistêmicos - Associações medicamentosas";\N;\N;"J01CR02 amoxicilina e inibidores da enzima";"Intravenosa";"amoxicilina sódica 500.000 mg (Miligrama),clavulanato de potássio 100.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"466331";"@brasil12577634650";"Amoxicilina 500 mg + Ácido Clavulânico 100 mg pó para solução para injeção; frasco-ampola";"Amoxicilina + Ácido Clavulânico";"Antibióticos sistêmicos - Associações medicamentosas";\N;"323567000";"J01CR02 amoxicilina e inibidores da enzima";"Intravenosa";"amoxicilina sódica 500.000 mg (Miligrama),clavulanato de potássio 100.000 mg (Miligrama)";"Pó para solução para injeção"
"42318";"@brasil15097499530";"Amoxicilina 500 mg + Ácido Clavulânico 125 mg comprimido";"Amoxicilina + Ácido Clavulânico";"Antibióticos sistêmicos - Associações medicamentosas entre antiinfecciosos";"Básico";"323539009";"J01CR02 amoxicilina e inibidores da enzima";"Oral";"amoxicilina tri-hidratada 500.000 mg (Miligrama),clavulanato de potássio 125.000 mg (Miligrama)";"Comprimido"
"466340";"@brasil19892832373";"Amoxicilina 500 mg + Sulbactam 250 mg pó e diluente para solução para injeção; frasco-ampola";"Amoxicilina + Sulbactam";"Antibióticos sistêmicos - Associações medicamentosas";\N;\N;\N;"Intramuscular,Intravenosa";"amoxicilina sódica 500.000 mg (Miligrama),sulbactam sódico 250.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"42293";"@brasil12898180271";"Amoxicilina 500 mg cápsula";"Amoxicilina";"Penicilina de amplo espectro";"Básico";"323510009";"J01CA04 amoxicilina";"Oral";"amoxicilina tri-hidratada 500.000 mg (Miligrama)";"Cápsula"
"370005";"@brasil12138198372";"Amoxicilina 500 mg cápsula e Claritromicina 500 mg comprimido e Esomeprazol 20 mg comprimido gastrorresistente";"Não existe ainda nenhuma associação de VTM para este VMP";"Antiácido e antiulcerosos";\N;\N;"A02BD06 esomeprazol, amoxicilina e claritromicina";"Via de administração não aplicável";\N;"Não aplicável"
"42519";"@brasil16546064163";"Amoxicilina 500 mg comprimido";"Amoxicilina";"Penicilina de amplo espectro";"Básico";"374646004";"J01CA04 amoxicilina";"Oral";"amoxicilina tri-hidratada 500.000 mg (Miligrama)";"Comprimido"
"675144";"@brasil11156371505";"Amoxicilina 80 mg/mL + Ácido Clavulânico 11,4 mg/mL suspensão oral";"Amoxicilina + Ácido Clavulânico";"Antibióticos sistêmicos - Associações medicamentosas";\N;"377596000";"J01CR02 amoxicilina e inibidores da enzima";"Oral";"ácido clavulânico 11.000 mg (Miligrama),amoxicilina tri-hidratada 80.000 mg (Miligrama)";"Pó para suspensão oral"
"408308";"@brasil18502017293";"Amoxicilina 80 mg/mL suspensão oral";"Amoxicilina";"Penicilina de amplo espectro";\N;"374649006";"J01CA04 amoxicilina";"Oral";"amoxicilina tri-hidratada 80.000 mg (Miligrama)";"Pó para suspensão oral"
"42545";"@brasil17338707871";"Amoxicilina 875 mg + Ácido Clavulânico 125 mg comprimido";"Amoxicilina + Ácido Clavulânico";"Antibióticos sistêmicos - Associações medicamentosas entre antiinfecciosos";\N;"392259005";"J01CR02 amoxicilina e inibidores da enzima";"Oral";"amoxicilina tri-hidratada 875.000 mg (Miligrama),clavulanato de potássio 125.000 mg (Miligrama)";"Comprimido"
"42303";"@brasil17207736443";"Amoxicilina 875 mg + Sulbactam 125 mg comprimido";"Amoxicilina + Sulbactam";"Antibióticos sistêmicos - Associações medicamentosas";\N;\N;"J01CR02 amoxicilina e inibidores da enzima";"Oral";"amoxicilina tri-hidratada 875.000 mg (Miligrama),sulbactam pivoxila 125.000 mg (Miligrama)";"Comprimido"
"42255";"@brasil10752400885";"Amoxicilina 875 mg comprimido";"Amoxicilina";"Penicilina de amplo espectro";\N;"374647008";"J01CA04 amoxicilina";"Oral";"amoxicilina tri-hidratada 875.000 mg (Miligrama)";"Comprimido"
"791146";"@brasil14680852725";"Ampicilina 1 g + Sulbactam 500 mg pó e diluente para solução para injeção; frasco-ampola";"Ampicilina + Sulbactam";"Antibióticos sistêmicos simples";\N;\N;"J01CR01 ampicilina e inibidores da enzima";"Intramuscular,Intravenosa";"ampicilina sódica 1.000 g (Grama),sulbactam sódico 500.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"558549";"@brasil11219507418";"Ampicilina 1 g + Sulbactam 500 mg pó para solução para injeção; frasco-ampola";"Ampicilina + Sulbactam";"Antibióticos sistêmicos - Associações medicamentosas";\N;"370418003";"J01CA51 ampicilina, associações contendo";"Intramuscular,Intravenosa";"ampicilina sódica 1.000 g (Grama),sulbactam 500.000 mg (Miligrama)";"Pó para solução para injeção"
"370034";"@brasil12778781318";"Ampicilina 1 g comprimido";"Ampicilina";"Penicilina de amplo espectro";\N;\N;"J01CA01 ampicilina";"Oral";"ampicilina tri-hidratada 1.000 g (Grama)";"Comprimido"
"790724";"@brasil10292901954";"Ampicilina 1 g pó e diluente para solução para injeção; frasco-ampola";"Ampicilina";"Penicilina de amplo espectro";\N;\N;"J01CA01 ampicilina";"Intramuscular,Intravenosa";"ampicilina sódica 1.000 g (Grama)";"Pó e diluente para solução para injeção"
"466417";"@brasil11542603820";"Ampicilina 1 g pó para solução para injeção; frasco-ampola";"Ampicilina";"Penicilina de amplo espectro";\N;"370416004";"J01CA01 ampicilina";"Intramuscular,Intravenosa";"ampicilina sódica 1.000 g (Grama)";"Pó para solução para injeção"
"791264";"@brasil17212964003";"Ampicilina 2 g + Sulbactam 1 g pó e diluente para solução para injeção; frasco-ampola";"Ampicilina + Sulbactam";"Antibióticos sistêmicos simples";\N;\N;"J01CA51 ampicilina, associações contendo";"Intramuscular,Intravenosa";"ampicilina sódica 2.000 g (Grama),sulbactam sódico 1.000 g (Grama)";"Pó e diluente para solução para injeção"
"466537";"@brasil18311837293";"Ampicilina 2 g + Sulbactam 1 g pó para solução para injeção; frasco-ampola";"Ampicilina + Sulbactam";"Antibióticos sistêmicos - Associações medicamentosas";\N;"370419006";"J01CA51 ampicilina, associações contendo";"Intramuscular,Intravenosa";"ampicilina 2.000 g (Grama),sulbactam 1.000 g (Grama)";"Pó para solução para injeção"
"408352";"@brasil10338854546";"Ampicilina 3 g pó para suspensão oral";"Ampicilina";"Penicilina de amplo espectro";\N;\N;"J01CA01 ampicilina";"Oral";"ampicilina 3.000 g (Grama)";"Pó para suspensão oral"
"675162";"@brasil17763373242";"Ampicilina 50 mg/mL suspensão oral";"Ampicilina";"Penicilina de amplo espectro";\N;"323573004";"J01CA01 ampicilina";"Oral";"ampicilina tri-hidratada 50.000 mg (Miligrama)";"Pó para suspensão oral"
"42365";"@brasil16296420306";"Ampicilina 500 mg cápsula";"Ampicilina";"Penicilina de amplo espectro";\N;"323571002";"J01CA01 ampicilina";"Oral";"ampicilina 500.000 mg (Miligrama)";"Cápsula"
"42337";"@brasil11982865865";"Ampicilina 500 mg comprimido";"Ampicilina";"Penicilina de amplo espectro";\N;\N;"J01CA01 ampicilina";"Oral";"ampicilina tri-hidratada 500.000 mg (Miligrama)";"Comprimido"
"791009";"@brasil13764995273";"Ampicilina 500 mg pó e diluente para solução para injeção; frasco-ampola";"Ampicilina";"Penicilina de amplo espectro";\N;\N;"J01CA01 ampicilina";"Intramuscular,Intravenosa";"ampicilina sódica 500.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"466719";"@brasil12600523700";"Ampicilina 500 mg pó para solução para injeção; frasco-ampola";"Ampicilina";"Penicilina de amplo espectro";\N;"323584006";"J01CA01 ampicilina";"Intramuscular,Intravenosa";"ampicilina sódica 500.000 mg (Miligrama)";"Pó para solução para injeção"
"52574";"@brasil11159997517";"Amprenavir 15 mg/mL solução oral";"Amprenavir";\N;\N;"134567002";"J05AE05 amprenavir";"Oral";"amprenavir 15.000 mg (Miligrama)";"Solução oral"
"68327";"@brasil19404988258";"Amprenavir 150 mg cápsula";"Amprenavir";\N;\N;"134568007";"J05AE05 amprenavir";"Via de administração não aplicável";\N;"Não aplicável"
"307380";"@brasil15435358224";"Anagrelida 0,5 mg cápsula";"Anagrelida";"Outros produtos não enquadrados em classe terapêutica específica";\N;\N;"L01XX35 anagrelida";"Oral";"cloridrato de anagrelida 0.000 mg (Miligrama)";"Cápsula"
"248360";"@brasil14932311431";"Anastrozol 1 mg comprimido";"Anastrozol";"Antineoplásico";\N;"327373002";"L02BG03 anastrozol";"Oral";"anastrozol 1.000 mg (Miligrama)";"Comprimido"
"68339";"@brasil14150018098";"Anfepramona 75 mg comprimido de liberação prolongada";"Anfepramona";\N;\N;"371143005";"A08AA03 anfepramona";"Via de administração não aplicável";\N;"Não aplicável"
"52580";"@brasil12715530117";"Anfotericina B 100 mg pó para solução para injeção; frasco-ampola";"Anfotericina B";\N;\N;"374751000";"J02AA01 anfotericina b";"Via de administração não aplicável";\N;"Não aplicável"
"466805";"@brasil16541130053";"Anfotericina B 50 mg pó e diluente para solução para injeção; frasco-ampola";"Anfotericina B";"Antibióticos sistêmicos simples";"Estratégico";\N;"J02AA01 anfotericina b";"Intravenosa";"anfotericina b 50.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"466864";"@brasil19570286159";"Anfotericina B 50 mg pó para solução para injeção; frasco-ampola";"Anfotericina B";"Antibióticos sistêmicos simples";"Estratégico";\N;"J02AA01 anfotericina b";"Intravenosa";"anfotericina b 50.000 mg (Miligrama)";"Pó para solução para injeção"
"466881";"@brasil12335225502";"Anfotericina B Complexo Lipídico 100 mg/20 mL suspensão para injeção; frasco-ampola";"Anfotericina B";"Anti-fúngicos";"Estratégico";\N;\N;"Intravenosa";"anfotericina b 5.000 mg (Miligrama)";"Suspensão para injeção"
"525681";"@brasil10456993951";"Anfotericina B Lipossomal 100 mg/20 mL solução para injeção; frasco-ampola";"Anfotericina B Lipossomal";\N;\N;"418771004";"J02AA01 anfotericina b";"Via de administração não aplicável";\N;"Não aplicável"
"468053";"@brasil17820670507";"Anfotericina B Lipossomal 50 mg pó para solução para injeção; frasco-ampola";"Anfotericina B Lipossomal";"Anti-fúngicos";"Estratégico";"347535007";"J02AA01 anfotericina b";"Intravenosa";"anfotericina b 50.000 mg (Miligrama)";"Pó para solução para injeção"
"468188";"@brasil10207544825";"Anidulafungina 100 mg pó e diluente para solução para injeção; frasco-ampola";"Anidulafungina";"Anti-fúngicos";\N;\N;"J02AX06 anidulafungina";"Intravenosa";"anidulafungina 100.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"468222";"@brasil19316342340";"Anidulafungina 100 mg pó para solução para injeção; frasco-ampola";"Anidulafungina";"Anti-fúngicos";\N;"425755001";"J02AX06 anidulafungina";"Intravenosa";"anidulafungina 100.000 mg (Miligrama)";"Pó para solução para injeção"
"400644";"@brasil15469390846";"Anlodipino 10 mg + Atorvastatina 10 mg comprimido";"Anlodipino + Atorvastatina";"Anti-hipertensivos";\N;\N;"C10BX03 atorvastatina e anlodipino";"Oral";"atorvastatina cálcica 10.000 mg (Miligrama),besilato de anlodipino 10.000 mg (Miligrama)";"Comprimido"
"400661";"@brasil19462970893";"Anlodipino 10 mg + Atorvastatina 20 mg comprimido";"Anlodipino + Atorvastatina";"Anti-hipertensivos";\N;\N;\N;"Oral";"atorvastatina cálcica 20.000 mg (Miligrama),besilato de anlodipino 10.000 mg (Miligrama)";"Comprimido"
"393229";"@brasil12997884668";"Anlodipino 10 mg + Ramipril 10 mg cápsula";"Ramipril + Anlodipino";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 10.000 mg (Miligrama),ramipril 10.000 mg (Miligrama)";"Cápsula"
"42382";"@brasil13459362668";"Anlodipino 10 mg comprimido";"Anlodipino";"Anti-hipertensivos simples";"Básico";"319284000";"C08CA01 anlodipino";"Oral";"besilato de anlodipino 10.000 mg (Miligrama)";"Comprimido"
"42418";"@brasil11007842570";"Anlodipino 2,5 mg + Benazepril 10 mg cápsula";"Anlodipino + Benazepril";"Anti-hipertensivos";\N;\N;\N;"Oral";"besilato de anlodipino 2.000 mg (Miligrama),cloridrato de benazepril 10.000 mg (Miligrama)";"Cápsula"
"42426";"@brasil12126308494";"Anlodipino 2,5 mg + Enalapril 10 mg cápsula";"Anlodipino + Benazepril";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 2.000 mg (Miligrama),maleato de enalapril 10.000 mg (Miligrama)";"Cápsula"
"392916";"@brasil11617581956";"Anlodipino 2,5 mg + Losartana 50 mg cápsula";"Anlodipino + Losartana";"Anti-hipertensivos";\N;\N;"C09DA01 losartana e diuréticos";"Oral";"besilato de anlodipino 2.000 mg (Miligrama),losartana potássica 50.000 mg (Miligrama)";"Cápsula"
"69296";"@brasil12468541498";"Anlodipino 2,5 mg + Ramipril 5 mg comprimido";"Ramipril + Anlodipino";\N;\N;\N;\N;"Via de administração não aplicável";\N;"Não aplicável"
"42487";"@brasil19571362750";"Anlodipino 2,5 mg comprimido";"Anlodipino";"Anti-hipertensivos simples";\N;"429828006";"C08CA01 anlodipino";"Oral";"besilato de anlodipino 2.000 mg (Miligrama)";"Comprimido"
"393006";"@brasil16283034509";"Anlodipino 5 mg + Atenolol 25 mg cápsula";"Anlodipino + Atenolol";"Anti-hipertensivos - Associações medicamentosas";\N;\N;"C07CB03 atenolol e outros diuréticos";"Oral";"atenolol 25.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Cápsula"
"400725";"@brasil13886368351";"Anlodipino 5 mg + Atenolol 25 mg comprimido";"Anlodipino + Atenolol";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"atenolol 25.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Comprimido"
"42652";"@brasil16875247485";"Anlodipino 5 mg + Atenolol 50 mg cápsula";"Anlodipino + Atenolol";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"atenolol 50.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Cápsula"
"400743";"@brasil11818972435";"Anlodipino 5 mg + Atenolol 50 mg comprimido";"Anlodipino + Atenolol";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"atenolol 50.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Comprimido"
"42410";"@brasil17637634888";"Anlodipino 5 mg + Atorvastatina 10 mg comprimido";"Anlodipino + Atorvastatina";"Anti-hipertensivos";\N;"409412002";"C10BX03 atorvastatina e anlodipino";"Oral";"atorvastatina cálcica 10.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Comprimido"
"400794";"@brasil15709364650";"Anlodipino 5 mg + Atorvastatina 20 mg comprimido";"Anlodipino + Atorvastatina";"Anti-hipertensivos";\N;\N;"C10BX03 atorvastatina e anlodipino";"Oral";"atorvastatina cálcica 20.000 mg (Miligrama),besilato de anlodipino 5.000 mg (Miligrama)";"Comprimido"
"42434";"@brasil17608015067";"Anlodipino 5 mg + Benazepril 10 mg cápsula";"Anlodipino + Benazepril";"Anti-hipertensivos";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),cloridrato de benazepril 10.000 mg (Miligrama)";"Cápsula"
"42442";"@brasil11661150167";"Anlodipino 5 mg + Benazepril 20 mg cápsula";"Anlodipino + Benazepril";"Anti-hipertensivos";\N;"377593008";\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),cloridrato de benazepril 20.000 mg (Miligrama)";"Cápsula"
"42450";"@brasil15481705939";"Anlodipino 5 mg + Enalapril 10 mg cápsula";"Anlodipino + Enalapril";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),maleato de enalapril 10.000 mg (Miligrama)";"Cápsula"
"393113";"@brasil11055756630";"Anlodipino 5 mg + Enalapril 20 mg cápsula";"Anlodipino + Enalapril";"Anti-hipertensivos - Associações medicamentosas";\N;\N;"C09BA02 enalapril e diuréticos";"Oral";"besilato de anlodipino 5.000 mg (Miligrama),maleato de enalapril 20.000 mg (Miligrama)";"Cápsula"
"42465";"@brasil15680280014";"Anlodipino 5 mg + Enalapril 20 mg comprimido";"Anlodipino + Enalapril";\N;\N;\N;\N;"Não disponível";"não disponível 0.000 desconhecido";"Não disponível"
"42600";"@brasil10855852365";"Anlodipino 5 mg + Losartana 100 mg cápsula";"Anlodipino + Losartana";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),losartana potássica 100.000 mg (Miligrama)";"Cápsula"
"393159";"@brasil12549475749";"Anlodipino 5 mg + Losartana 50 mg cápsula";"Anlodipino + Losartana";"Anti-hipertensivos";\N;\N;"C09DA01 losartana e diuréticos";"Oral";"besilato de anlodipino 5.000 mg (Miligrama),losartana potássica 50.000 mg (Miligrama)";"Cápsula"
"42608";"@brasil14015344281";"Anlodipino 5 mg + Losartana 50 mg comprimido";"Anlodipino + Losartana";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),losartana potássica 50.000 mg (Miligrama)";"Comprimido"
"42568";"@brasil10352913364";"Anlodipino 5 mg + Ramipril 10 mg cápsula";"Ramipril + Anlodipino";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),ramipril 10.000 mg (Miligrama)";"Cápsula"
"520807";"@brasil12435429376";"Anlodipino 5 mg + Ramipril 2,5 mg cápsula";"Ramipril + Anlodipino";"Anti-hipertensivos - Associações medicamentosas";\N;\N;"C09BA05 ramipril e diuréticos";"Oral";"besilato de anlodipino 5.000 mg (Miligrama),ramipril 2.000 mg (Miligrama)";"Cápsula"
"42576";"@brasil17517348691";"Anlodipino 5 mg + Ramipril 5 mg cápsula";"Ramipril + Anlodipino";"Anti-hipertensivos - Associações medicamentosas";\N;\N;\N;"Oral";"besilato de anlodipino 5.000 mg (Miligrama),ramipril 5.000 mg (Miligrama)";"Cápsula"
"42392";"@brasil15887639684";"Anlodipino 5 mg comprimido";"Anlodipino";"Anti-hipertensivos simples";"Básico";"319283006";"C08CA01 anlodipino";"Oral";"besilato de anlodipino 5.000 mg (Miligrama)";"Comprimido"
"558604";"@brasil15943804536";"Antimoniato de Meglumina 300 mg/mL solução para injeção 5 mL; ampola";"Antimoniato de Meglumina";"Antiparasitários";"Estratégico";\N;"P01CB01 antimoniato de meglumina";"Intramuscular,Intravenosa";"antimoniato de meglumina 300.000 mg (Miligrama)";"Solução para injeção"
"248550";"@brasil15075332600";"Apixabana 2,5 mg comprimido";"Apixabana";"Antitrombótico";\N;"703907006";"B01AF02 apixaban";"Oral";"apixabana 2.000 mg (Miligrama)";"Comprimido"
"248877";"@brasil13091875996";"Apixabana 5 mg comprimido";"Apixabana";"Antitrombótico";\N;"703908001";"B01AF02 apixaban";"Oral";"apixabana 5.000 mg (Miligrama)";"Comprimido"
"317693";"@brasil13366705506";"Aprepitanto 80 mg cápsula e Aprepitanto 125 mg cápsula";"Aprepitanto";"Antieméticos e antinauseantes";\N;"410959002";"A04AD12 aprepitanto";"Via de administração não aplicável";\N;"Não aplicável"
"794741";"@brasil11268168911";"Arginina 0,25mg/mL Xarope";"Arginina";\N;\N;\N;\N;\N;"arginina 0.250 mg (Miligrama)";"Xarope"
"370102";"@brasil14571165463";"Arginina 1 g comprimido";"Arginina";"Suplementos dietéticos protéicos";\N;"19743811000001103";\N;"Oral";"aspartato de arginina 1.000 g (Grama)";"Comprimido"
"405214";"@brasil19355289840";"Arginina 1,5 g comprimido efervescente";"Arginina";"Neurotônico";\N;\N;\N;"Oral";"aspartato de arginina 1.000 g (Grama)";"Comprimido efervescente"
"334183";"@brasil16796876587";"Arginina 185 mg + Ornitina 60 mg + Citrulina 5 mg comprimido";"Arginina + Ornitina + Citrulina";"Vitaminas e suplementos minerais";\N;\N;\N;"Oral";"aspartato de ornitina 60.000 mg (Miligrama),citrulina 5.000 mg (Miligrama),cloridrato de arginina 185.000 mg (Miligrama)";"Comprimido"
"248959";"@brasil16782900937";"Arginina 250 mg comprimido";"Arginina";"Vitaminas ou minerais associados a outros fármacos";\N;\N;\N;"Oral";"aspartato de arginina 250.000 mg (Miligrama)";"Comprimido"
"68362";"@brasil13033958116";"Arginina 250 mg/mL xarope";"Arginina";\N;\N;\N;"A05BA07 arginina tiadízica";"Via de administração não aplicável";\N;"Não aplicável"
"68368";"@brasil12553433935";"Arginina 400 mg/mL xarope";"Arginina";\N;\N;\N;"A05BA07 arginina tiadízica";"Via de administração não aplicável";\N;"Não aplicável"
"249181";"@brasil17085708589";"Arginina 500 mg comprimido";"Arginina";"Suplementos dietéticos protéicos";\N;"14780511000001101";\N;"Oral";"aspartato de arginina 500.000 mg (Miligrama)";"Comprimido"
"249203";"@brasil13060577531";"Aripiprazol 10 mg comprimido";"Aripiprazol";"Antipsicóticos";\N;"406787003";"N05AX12 aripiprazol";"Oral";"aripiprazol 10.000 mg (Miligrama)";"Comprimido"
"249217";"@brasil14379598575";"Aripiprazol 15 mg comprimido";"Aripiprazol";"Antipsicóticos";\N;"406788008";"N05AX12 aripiprazol";"Oral";"aripiprazol 15.000 mg (Miligrama)";"Comprimido"
"249258";"@brasil19052305935";"Aripiprazol 20 mg comprimido";"Aripiprazol";"Antipsicóticos";\N;"406789000";"N05AX12 aripiprazol";"Oral";"aripiprazol 20.000 mg (Miligrama)";"Comprimido"
"249272";"@brasil14143063549";"Aripiprazol 30 mg comprimido";"Aripiprazol";"Antipsicóticos";\N;"406790009";"N05AX12 aripiprazol";"Oral";"aripiprazol 30.000 mg (Miligrama)";"Comprimido"
"68374";"@brasil13665295636";"Arteméter 20 mg + Lumefantrina 120 mg comprimido";"Arteméter + Lumefantrina";\N;"Estratégico";"407910005";"P01BF01 arteméter, associações contendo";"Via de administração não aplicável";\N;"Não aplicável"
"52729";"@brasil15015909348";"Arteméter 80 mg/1 mL solução para injeção; ampola";"Arteméter";\N;"Estratégico";\N;"P01BE02 arteméter";"Via de administração não aplicável";\N;"Não aplicável"
"68386";"@brasil10666176685";"Artesunato 100 mg + Mefloquina 220 mg comprimido";"Artesunato + Mefloquina";\N;"Estratégico";\N;"P01BF02 artesunato e mefloquina";"Via de administração não aplicável";\N;"Não aplicável"
"68421";"@brasil15153384444";"Artesunato 25 mg + Mefloquina 55 mg comprimido";"Artesunato + Mefloquina";\N;"Estratégico";\N;"P01BF02 artesunato e mefloquina";"Via de administração não aplicável";\N;"Não aplicável"
"52773";"@brasil13559999840";"Artesunato 60 mg pó para solução para injeção; frasco-ampola";"Artesunato";\N;"Estratégico";\N;"P01BE03 artesunato de sódio";"Via de administração não aplicável";\N;"Não aplicável"
"249364";"@brasil16776661784";"Asenapina 10 mg comprimido sublingual";"Asenapina";"Antipsicóticos";\N;"443376002";\N;"Sublingual";"maleato de asenapina 10.000 mg (Miligrama)";"Comprimido"
"249332";"@brasil18431295991";"Asenapina 5 mg comprimido sublingual";"Asenapina";"Antipsicóticos";\N;"443268002";\N;"Sublingual";"maleato de asenapina 5.000 mg (Miligrama)";"Comprimido sublingual"
"52765";"@brasil10764150889";"Asparaginase 10.000 unidades internacionais pó para injeção; frasco-ampola";"Asparaginase";"Antineoplásico";\N;"28807711000001108";"L01XX02 asparaginase";"Intramuscular,Intravenosa";"asparaginase 10000.000 unidade";"Pó para solução para injeção"
"68403";"@brasil19676454381";"Aspartato de Magnésio 50 mg + Carbonato de Cálcio 1,25 g (Cálcio 500 mg) + Ranitidina 150 mg + Colecalciferol 400 unidades internacionais cápsula";"Aspartato de Magnésio + Carbonato de Cálcio + Ranitidina + Colecalciferol";\N;\N;\N;\N;"Via de administração não aplicável";\N;"Não aplicável"
"416786";"@brasil14826781659";"Aspartato de Ornitina 5 g/10 mL solução para injeção; ampola";"Aspartato de Ornitina";"Outros produtos não enquadrados em classe terapêutica específica";\N;\N;\N;"Intravenosa";"aspartato de ornitina 0.000 g (Grama)";"Solução para injeção"
"68409";"@brasil11377281742";"Atazanavir 150 mg cápsula";"Atazanavir";\N;\N;"413594004";"J05AE08 atazanavir";"Via de administração não aplicável";\N;"Não aplicável"
"286393";"@brasil16212497422";"Atazanavir 200 mg cápsula";"Atazanavir";"Antiviróticos (inibe replicação virótica)";"Estratégico";"413595003";"J05AE08 atazanavir";"Oral";"sulfato de atazanavir 200.000 mg (Miligrama)";"Cápsula"
"286413";"@brasil18123066757";"Atazanavir 300 mg cápsula";"Atazanavir";"Antiviróticos (inibe replicação virótica)";"Estratégico";"424264002";"J05AE08 atazanavir";"Oral";"sulfato de atazanavir 300.000 mg (Miligrama)";"Cápsula"
"321765";"@brasil19820724872";"Atenolol 100 mg + Clortalidona 25 mg comprimido";"Atenolol + Clortalidona";"Anti-hipertensivos - Associações medicamentosas";\N;"377211005";"C07CB03 atenolol e outros diuréticos";"Oral";"atenolol 100.000 mg (Miligrama),clortalidona 25.000 mg (Miligrama)";"Comprimido"
"248925";"@brasil10110905085";"Atenolol 100 mg comprimido";"Atenolol";"Betabloqueadores simples";"Básico";"318421004";"C07AB03 atenolol";"Oral";"atenolol 100.000 mg (Miligrama)";"Comprimido"
"323026";"@brasil10850918441";"Atenolol 25 mg + Clortalidona 12,5 mg comprimido";"Atenolol + Clortalidona";"Anti-hipertensivos - Associações medicamentosas";\N;\N;"C07CB03 atenolol e outros diuréticos";"Oral";"atenolol 25.000 mg (Miligrama),clortalidona 12.000 mg (Miligrama)";"Comprimido"
"248971";"@brasil17739192038";"Atenolol 25 mg comprimido";"Atenolol";"Betabloqueadores simples";\N;"318434003";"C07AB03 atenolol";"Oral";"atenolol 25.000 mg (Miligrama)";"Comprimido"
"323042";"@brasil10529810329";"Atenolol 50 mg + Clortalidona 12,5 mg comprimido";"Atenolol + Clortalidona";"Anti-hipertensivos - Associações medicamentosas";\N;"318575007";"C07CB03 atenolol e outros diuréticos";"Oral";"atenolol 50.000 mg (Miligrama),clortalidona 12.000 mg (Miligrama)";"Comprimido"
"251832";"@brasil16623758436";"Atenolol 50 mg comprimido";"Atenolol";"Betabloqueadores simples";"Básico";"318420003";"C07AB03 atenolol";"Oral";"atenolol 50.000 mg (Miligrama)";"Comprimido"
"249237";"@brasil19761194668";"Atorvastatina 10 mg comprimido";"Atorvastatina";"Antilipêmicos";"Básico";"320029006";\N;"Oral";"atorvastatina cálcica 10.000 mg (Miligrama)";"Comprimido"
"249373";"@brasil12640979561";"Atorvastatina 20 mg comprimido";"Atorvastatina";"Antilipêmicos";"Básico";"320030001";\N;"Oral";"atorvastatina cálcica 20.000 mg (Miligrama)";"Comprimido"
"249385";"@brasil12874912760";"Atorvastatina 40 mg comprimido";"Atorvastatina";"Antilipêmicos";"Básico";"320031002";\N;"Oral";"atorvastatina cálcica 40.000 mg (Miligrama)";"Comprimido"
"249411";"@brasil18812069861";"Atorvastatina 80 mg comprimido";"Atorvastatina";"Antilipêmicos";"Básico";"134489001";\N;"Oral";"atorvastatina cálcica 80.000 mg (Miligrama)";"Comprimido"
