"co_seq_id";"nu_apid";"no_nm"
122261;@brasil50999259102;Divelol 6,25 mg comprimido
122262;@brasil78046633730;Loniten 10 mg comprimido
122263;@brasil38734679983;Clonidin 150 microgramas/1 mL solução para injeção
122264;@brasil95133520754;Metilvita 250 mg comprimido
122265;@brasil48656675342;Tensioval 250 mg comprimido
122268;@brasil94980926451;LFM - Metildopa 250 mg comprimido
122270;@brasil36715093171;Metilvita 500 mg comprimido
122271;@brasil53259063139;Tensioval 500 mg comprimido
122274;@brasil80536672571;LFM - Metildopa 500 mg comprimido
122276;@brasil69655035778;Maleato de Enalapril 20 mg + Hidroclorotiazida 12,5 mg comprimido
122277;@brasil51490770443;Malena Hct 20 mg + 12,5 mg comprimido
122278;@brasil58020290682;Co-Renitec 20 mg + 12,5 mg comprimido
122279;@brasil80938438473;Pryltec 20 mg comprimido
122281;@brasil35466846335;Prinzide 20 mg + 12,5 mg comprimido
122282;@brasil14547802955;Prinzide 10 mg + 12,5 mg comprimido
122284;@brasil21995361872;Cardvita H 50 mg + 12,5 mg comprimido
122287;@brasil52073947742;Corus H 50 mg + 12,5 mg comprimido
122288;@brasil87599196211;Aradois H 50 mg + 12,5 mg comprimido
122290;@brasil69854283400;Losartana Potássica 50 mg + Hidroclorotiazida 12,5 mg comprimido
122291;@brasil65631634960;Torlos H 50 mg + 12,5 mg comprimido
122292;@brasil42780594085;Losartana Potássica 50 mg + Hidroclorotiazida 12,5 mg comprimido
122293;@brasil92905503404;Losartana Potássica 50 mg + Hidroclorotiazida 12,5 mg comprimido
122294;@brasil57579457494;Valtrian HCT 50 mg + 12,5 mg comprimido
122295;@brasil41073863834;Losartana Potássica 50 mg + Hidroclorotiazida 12,5 mg comprimido
122296;@brasil97883632985;Lorsar HCT 50 mg + 12,5 mg comprimido
122297;@brasil97721889364;Zart HCT 50 mg + 12,5 mg comprimido
122298;@brasil77913954714;Losartana Potássica 50 mg + Hidroclorotiazida 12,5 mg comprimido
122299;@brasil67900755879;Hyzaar 50 mg + 12,5 mg comprimido
122300;@brasil35362034231;Lestric 150 mg comprimido
122301;@brasil91335261843;Irbesartana 150 mg comprimido
122303;@brasil97974253945;Lestric 300 mg comprimido
122304;@brasil72787290900;Irbesartana 300 mg comprimido
122306;@brasil34300798847;Adalat 10 mg cápsula
122307;@brasil99315261918;Besilato de Anlodipino 5 mg comprimido
122308;@brasil52947152418;Lacipil 4 mg comprimido
122309;@brasil89094576448;Cloridrato de Lercanidipino 10 mg comprimido
122310;@brasil30323260346;Zanidip 10 mg comprimido
122311;@brasil48425921333;Hydergine 4,5 mg comprimido
122312;@brasil68773894150;Epifrin 1 mg/1 mL solução para injeção
122313;@brasil58052624733;Efrinalin 1 mg/1 mL solução para injeção
122314;@brasil76548010358;Aramin 10 mg/ 1 mL solução para injeção
122315;@brasil34578445613;Fenilefrin 10 mg/1 mL solução para injeção
122316;@brasil38434387808;Endocris 20 mg/0,2 mL solução para injeção
122317;@brasil49587024878;Enoxalow 20 mg/0,2 mL solução para injeção
122318;@brasil88236682635;Versa 20 mg/0,2 mL solução para injeção
122320;@brasil15322095983;Clexane 20 mg/0,2 mL solução para injeção
122321;@brasil14575769163;Cutenox 20 mg/0,2 mL solução para injeção
122322;@brasil87362707054;Endocris 40 mg/0,4 mL solução para injeção
122323;@brasil63395824922;Enoxalow 40 mg/0,4 mL solução para injeção
122325;@brasil73673343630;Versa 40 mg/0,4 mL solução para injeção
122327;@brasil80897677273;Clexane 40 mg/0,4 mL solução para injeção
122328;@brasil47385778021;Cutenox 40 mg/0,4 mL solução para injeção
122329;@brasil10486040881;Endocris 60 mg/0,6 mL solução para injeção
122330;@brasil37147832350;Enoxalow 60 mg/0,6 mL solução para injeção
122331;@brasil39201571739;Versa 60 mg/0,6 mL solução para injeção
122333;@brasil35330332687;Clexane 60 mg/0,6 mL solução para injeção
122334;@brasil10413325634;Cutenox 60 mg/0,6 mL solução para injeção
122335;@brasil58398750992;Endocris 80 mg/0,8 mL solução para injeção
122336;@brasil56374281256;Enoxalow 80 mg/0,8 mL solução para injeção
122337;@brasil35654684755;Versa 80 mg/0,8 mL solução para injeção
122339;@brasil28052637420;Clexane 80 mg/0,8 mL solução para injeção
122340;@brasil69029499919;Cutenox 80 mg/0,8 mL solução para injeção
122341;@brasil24408986090;Enoxalow 100 mg/1 mL solução para injeção
122344;@brasil66235678011;Clexane 100 mg/1 mL solução para injeção
122345;@brasil32476715877;Persantin 10 mg/2 mL solução para injeção
122346;@brasil13772954688;Cloridrato de Ticlopidina 250 mg comprimido
122360;@brasil96139906756;Ticlid 250 mg comprimido
122361;@brasil16368018954;Cloridrato de Ticlopidina 250 mg comprimido
122362;@brasil26171981363;Plaketar 250 mg comprimido
122364;@brasil42568735377;Plavasc 250 mg comprimido
122376;@brasil82838405305;Cloridrato de Ticlopidina 250 mg comprimido
122378;@brasil23847105583;Cloridrato de Ticlopidina 250 mg comprimido
122383;@brasil53717118924;Bezafibrato 200 mg comprimido
122384;@brasil49054298373;Cedur 200 mg comprimido
122386;@brasil43740274453;Bezafibrato 200 mg comprimido
122388;@brasil87030306791;Primacor 10 mg/10 mL solução para injeção
122389;@brasil65304997993;Sulfato de Salbutamol 0,4 mg/mL xarope
122390;@brasil39616660543;Butalab 0,4 mg/mL xarope
122404;@brasil83587295709;Sulfato de Salbutamol 0,4 mg/mL xarope
122405;@brasil16073855086;Sulfato de Salbutamol 0,4 mg/mL xarope
122406;@brasil35674423991;Broncofedrin 0,4 mg/mL xarope
122407;@brasil75944169307;Aerofrin 0,4 mg/mL xarope
122409;@brasil30450128671;Sulfato de Salbutamol 0,4 mg/mL xarope
122410;@brasil82783222429;Sulfato de Salbutamol 0,4 mg/mL xarope
122411;@brasil89687941554;Sulfato de Salbutamol 0,4 mg/mL xarope
122413;@brasil79282585261;Sulfato de Salbutamol 0,4 mg/mL xarope
122417;@brasil18272693935;Sulfato de Salbutamol 0,4 mg/mL xarope
122418;@brasil18292643182;Aerolin 0,4 mg/mL xarope
122419;@brasil32792831942;Iquego - Salbutamol 0,4 mg/mL xarope
122420;@brasil68821414007;Aerotrat 0,4 mg/mL xarope
122422;@brasil78726865797;Sulfato de Salbutamol 0,5 mg/1 mL solução para injeção
122423;@brasil90471144488;Aerolin 0,5 mg/1 mL solução para injeção
122425;@brasil10022957030;Sulfato de Terbutalina 0,5 mg/1 mL solução para injeção
122426;@brasil10150856892;Sulfato de Terbutalina 0,5 mg/1 mL solução para injeção
122427;@brasil22477737415;Terbutil 0,5 mg/1 mL solução para injeção
122428;@brasil76529259334;Sulfato de Terbutalina 0,3 mg/mL xarope
122429;@brasil20611633457;Bricanyl 0,3 mg/mL xarope
122431;@brasil83187124452;Sulfato de Terbutalina 0,3 mg/mL xarope
122446;@brasil66889221622;Loratadina 10 mg comprimido
122459;@brasil44172449790;Loratadina 10 mg comprimido
122460;@brasil10349920398;Loradine 1 mg/mL xarope
122461;@brasil20842523757;Alergaliv 1 mg/mL xarope
122462;@brasil70369853576;Loratadina 1 mg/mL xarope
122463;@brasil72313044630;Loratadina 1 mg/mL xarope
122464;@brasil36245147279;Loratadina 1 mg/mL xarope
122465;@brasil44112263672;Loritil 1 mg/mL xarope
122467;@brasil26127110215;Loratamed 1 mg/mL xarope
122468;@brasil29293377547;Loratadina 1 mg/mL xarope
122469;@brasil69921739416;Loratadina 1 mg/mL xarope
122470;@brasil10090263556;Loremix 1 mg/mL xarope
122472;@brasil35206890990;Histamix 1 mg/mL xarope
122473;@brasil77650099181;Loratadina 1 mg/mL xarope
122474;@brasil31659564767;Clistin 1 mg/mL xarope
122475;@brasil84419523988;Loratadina 1 mg/mL xarope
122476;@brasil29741811104;Loratadina 1 mg/mL xarope
122477;@brasil59665002387;Loratadina 1 mg/mL xarope
122478;@brasil44865395266;Loratadina 1 mg/mL xarope
122479;@brasil48725305578;Histadin 1 mg/mL xarope
122481;@brasil83379281154;Loratadina 1 mg/mL xarope
122482;@brasil22109059650;Loratadina 1 mg/mL xarope
122483;@brasil99015095793;Loratadina 1 mg/mL xarope
122498;@brasil45442729566;Loratadina 1 mg/mL xarope
122499;@brasil68125173482;Cloratadd 1 mg/mL xarope
122500;@brasil78708900088;Claritin 1 mg/mL xarope
122501;@brasil96100904417;Altiva 120 mg comprimido
122502;@brasil73035579347;Altiva 180 mg comprimido
122503;@brasil64202178323;Montelucaste de Sódio 10 mg comprimido
122504;@brasil85164102863;Uniair 10 mg comprimido
122505;@brasil62823770007;Bronsecur 10 mg comprimido
122506;@brasil51063035474;Montelucaste de Sódio 10 mg comprimido
122507;@brasil29179705237;Montelucaste de Sódio 10 mg comprimido
122508;@brasil53012284889;Montelucaste de Sódio 10 mg comprimido
122509;@brasil19525247635;Montelair 10 mg comprimido
122510;@brasil99295484400;Montelucaste de Sódio 10 mg comprimido
122511;@brasil75289271633;Viatine 10 mg comprimido
122512;@brasil25482303273;Zylcas 10 mg comprimido
122516;@brasil42241543346;Montelucaste Sódico 10 mg comprimido
122527;@brasil56257761002;Pulmozyme 1 mg/mL solução para inalação 2,5 mL
122529;@brasil15349189013;Carbocisteina 50 mg/mL solução oral
122530;@brasil49356511657;Carbocisteína 50 mg/mL solução oral
122532;@brasil73212174997;Carbocisteína 50 mg/mL solução oral
122533;@brasil74567780545;Rohypnol 1 mg comprimido
122534;@brasil82489630435;Rohydorm 1 mg comprimido
122536;@brasil16515878835;Flumazil 0,5 mg/5 mL solução para injeção
122537;@brasil21891683074;Flumazenil 0,5 mg/5 mL solução para injeção
122539;@brasil59022888931;Lenazen 0,5 mg/5 mL solução para injeção
122540;@brasil41900510754;Flumazenil 0,5 mg/5 mL solução para injeção
122541;@brasil55901297985;Lanexat 0,5 mg/5 mL solução para injeção
122542;@brasil12930714672;Flumazenil 0,5 mg/5 mL solução para injeção
122543;@brasil99803521647;Flunexil 0,5 mg/5 mL solução para injeção
122544;@brasil15580677999;Amplictil 25 mg comprimido
122545;@brasil70172114352;Longactil 25 mg comprimido
122546;@brasil44117758628;Clorpromaz 100 mg comprimido
122547;@brasil79969209087;Amplictil 100 mg comprimido
122548;@brasil88721433276;Longactil 100 mg comprimido
122549;@brasil87177715342;Flufenan 5 mg comprimido
122550;@brasil93868550667;Haloperidol 2 mg/mL solução oral
122551;@brasil57115106579;Haloperidol 2 mg/mL solução oral
122552;@brasil17663738975;Uni Haloper 2 mg/mL solução oral
122553;@brasil10158498894;Levozine 25 mg comprimido
122554;@brasil89610179368;Neozine 25 mg comprimido
122556;@brasil61960834031;Neuleptil 10 mg comprimido
122557;@brasil32109281659;Orap 4 mg comprimido
122558;@brasil80555635965;Equilid 200 mg comprimido
122559;@brasil97870514255;Dogmatil 200 mg comprimido
122560;@brasil68124237185;Stelazine 5 mg comprimido
122561;@brasil57450495371;Ripevil 1 mg comprimido
122562;@brasil24787026315;Risperidona 1 mg comprimido
122563;@brasil59879665951;Risperidona 1 mg comprimido
122564;@brasil66824510184;Risperidona 1 mg comprimido
122565;@brasil82073707087;Viverdal 1 mg comprimido
122566;@brasil68676403390;Risperidona 1 mg comprimido
122569;@brasil57108549740;Risperidona 1 mg comprimido
122570;@brasil30271640520;Risperdal 1 mg comprimido
122571;@brasil11800926784;Risperidon 1 mg comprimido
122572;@brasil29443639204;Zargus 1 mg comprimido
122573;@brasil16990083925;Respidon 1 mg comprimido
122574;@brasil70292267277;Risperac 1 mg comprimido
122575;@brasil78003265222;Risperidona 1 mg comprimido
122576;@brasil74261618945;Risperidona 1 mg comprimido
122577;@brasil92451831298;Rispalum 1 mg comprimido
122578;@brasil44149982925;Risperidona 1 mg comprimido
122579;@brasil30115461308;Riss 1 mg comprimido
122580;@brasil79902363543;Risperidona 1 mg comprimido
122581;@brasil96288752650;Ripevil 2 mg comprimido
122582;@brasil48082158220;Risperidona 2 mg comprimido
122583;@brasil26293142994;Risperidona 2 mg comprimido
122584;@brasil15365713248;Risperidona 2 mg comprimido
122585;@brasil17744410962;Viverdal 2 mg comprimido
122586;@brasil71413653815;Risperidona 2 mg comprimido
122589;@brasil10238926812;Risperidona 2 mg comprimido
122590;@brasil93723635167;Risperdal 2 mg comprimido
122591;@brasil40020929534;Risperidon 2 mg comprimido
122592;@brasil55237601285;Zargus 2 mg comprimido
122593;@brasil15042738693;Respidon 2 mg comprimido
122594;@brasil76195578342;Risperac 2 mg comprimido
122595;@brasil74005008106;Risperidona 2 mg comprimido
122596;@brasil37981470253;Risperidona 2 mg comprimido
122597;@brasil89253401864;Rispalum 2 mg comprimido
122598;@brasil94462401206;Risperidona 2 mg comprimido
122599;@brasil20262065517;Riss 2 mg comprimido
122600;@brasil40452196557;Risperidona 2 mg comprimido
122601;@brasil17703098849;Ripevil 3 mg comprimido
122602;@brasil89298238453;Risperidona 3 mg comprimido
122603;@brasil58876853629;Risperidona 3 mg comprimido
122604;@brasil72404777463;Risperidona 3 mg comprimido
122605;@brasil41379604187;Viverdal 3 mg comprimido
122606;@brasil57954638624;Risperidona 3 mg comprimido
122609;@brasil84979295205;Risperidona 3 mg comprimido
122610;@brasil21049827007;Risperdal 3 mg comprimido
122611;@brasil24105347496;Risperidon 3 mg comprimido
122612;@brasil75572944847;Zargus 3 mg comprimido
122613;@brasil65213108225;Respidon 3 mg comprimido
122614;@brasil91083433656;Risperac 3 mg comprimido
122615;@brasil99821796336;Risperidona 3 mg comprimido
122616;@brasil23591291571;Risperidona 3 mg comprimido
122617;@brasil68932874993;Rispalum 3 mg comprimido
122618;@brasil83165571529;Risperidona 3 mg comprimido
122619;@brasil31811113982;Riss 3 mg comprimido
122620;@brasil83633577035;Risperidona 3 mg comprimido
122621;@brasil54726255827;Risperdal 500 microgramas comprimido
122622;@brasil24331747560;Clopixol 200 mg/1 mL solução para injeção
122623;@brasil35617755836;Carbolitium CR 450 mg comprimido de liberação prolongada
122624;@brasil30681223707;Amytril 10mg comprimido
122627;@brasil68261485747;Imipra 25 mg comprimido
122628;@brasil43343943177;Ludiomil 25 mg comprimido
122629;@brasil54628361298;Ludiomil 75 mg comprimido
122630;@brasil40029372952;Parnate 10 mg comprimido
122631;@brasil11554586595;Luvox 100 mg comprimido
122632;@brasil13312905052;Cloridrato de Fluoxetina 20 mg cápsula
122633;@brasil75600741199;Fluoxetin 20 mg cápsula
122634;@brasil57555167287;Fluxene 20 mg cápsula
122635;@brasil19060755291;Cloridrato de Fluoxetina 20 mg cápsula
122636;@brasil22523157660;Cloridrato de Fluoxetina 20 mg cápsula
122637;@brasil69930902902;Cloridrato de Fluoxetina 20 mg cápsula
122638;@brasil77465424896;Cloridrato de Fluoxetina 20 mg cápsula
122639;@brasil15038853660;Cloridrato de Fluoxetina 20 mg cápsula
122640;@brasil45651578983;Cloridrato de Fluoxetina 20 mg cápsula
122643;@brasil35190609383;Cloridrato de Fluoxetina 20 mg cápsula
122644;@brasil25430616433;Flozura 20 mg cápsula
122646;@brasil94842831517;Cloridrato de Fluoxetina 20 mg cápsula
122647;@brasil13287046665;Prozac 20 mg cápsula
122648;@brasil28554641143;Cloridrato de Fluoxetina 20 mg cápsula
122650;@brasil80507209377;Cloridrato de Fluoxetina 20 mg cápsula
122651;@brasil73591878764;Cloridrato de Fluoxetina 20 mg cápsula
122652;@brasil90257402622;Depress 20 mg cápsula
122653;@brasil15726703687;Cloridrato de Fluoxetina 20 mg cápsula
122654;@brasil31858787429;Prozen 20 mg cápsula
122656;@brasil61367876543;Cloridrato de Fluoxetina 20 mg cápsula
122657;@brasil47652014680;Zyfloxin 20 mg cápsula
122658;@brasil24791348077;Cloridrato de Fluoxetina 20 mg cápsula
122659;@brasil17274581881;Assert 50 mg comprimido
122660;@brasil13063753293;Cloridrato de Sertralina 50 mg comprimido
122661;@brasil23803309746;Dieloft 50 mg comprimido
122662;@brasil16433526591;Cloridrato de Sertralina 50 mg comprimido
122663;@brasil50197364713;Cloridrato de Sertralina 50 mg comprimido
122664;@brasil53343685491;Cloridrato de Sertralina 50 mg comprimido
122665;@brasil38018324480;Sered 50 mg comprimido
122666;@brasil53337790465;Cloridrato de Sertralina 50 mg comprimido
122667;@brasil69208413006;Cloridrato de Sertralina 50 mg comprimido
122669;@brasil37647491310;Cloridrato de Sertralina 50 mg comprimido
122670;@brasil42490800699;Serenata 50 mg comprimido
122672;@brasil54777667462;Cloridrato de Sertralina 50 mg comprimido
122676;@brasil34997511225;Cloridrato de Sertralina 50 mg comprimido
122677;@brasil17793844226;Zoloft 50 mg comprimido
122678;@brasil69312732818;Tolrest 50 mg comprimido
122679;@brasil28604545798;Cloridrato de Sertralina 50 mg comprimido
122680;@brasil32824985328;Zysertin 50 mg comprimido
122681;@brasil71460649991;Cloridrato de Sertralina 50 mg comprimido
122682;@brasil34816233991;Zoltralina 50 mg comprimido
122683;@brasil67482125912;Cloridrato de Sertralina 50 mg comprimido
122684;@brasil68155124851;Cloridrato de Sertralina 50 mg comprimido
122685;@brasil80525926952;Cloridrato de Sertralina 50 mg comprimido
122686;@brasil27820710596;Cloridrato de Sertralina 50 mg comprimido
122687;@brasil56304466814;Cloridrato de Sertralina 50 mg comprimido
122689;@brasil44931848042;Cloridrato de Sertralina 50 mg comprimido
122690;@brasil83453006368;Cloridrato de Sertralina 50 mg comprimido
122691;@brasil67384043636;Assert 100 mg comprimido
122692;@brasil59993852412;Dieloft 100 mg comprimido
122693;@brasil86406942458;Cloridrato de Sertralina 100 mg comprimido
122694;@brasil89171449637;Cloridrato de Sertralina 100 mg comprimido
122695;@brasil39817097550;Sered 100 mg comprimido
122696;@brasil23375052462;Cloridrato de Sertralina 100 mg comprimido
122697;@brasil14804769403;Serenata 100 mg comprimido
122699;@brasil89159932226;Cloridrato de Sertralina 100 mg comprimido
122700;@brasil32760877103;Zoloft 100 mg comprimido
122703;@brasil71479199527;Tolrest 100 mg comprimido
122704;@brasil64817966136;Cloridrato de Sertralina 100 mg comprimido
122706;@brasil15903166894;Cloridrato de Sertralina 100 mg comprimido
122708;@brasil51569082009;Cloridrato de Sertralina 100 mg comprimido
122709;@brasil67123957070;Pondera 20 mg comprimido
122710;@brasil42007613256;Cloridrato de Paroxetina 20 mg comprimido
122711;@brasil36940080069;Paroxiliv 20 mg comprimido
122712;@brasil30677221385;Cloridrato de Paroxetina 20 mg comprimido
122713;@brasil23579724802;Zyparox 20 mg comprimido
122714;@brasil41605958950;Cloridrato de Paroxetina 20 mg comprimido
122715;@brasil83249412308;Cloridrato de Paroxetina 20 mg comprimido
122716;@brasil34220605090;Pondix 20 mg comprimido
122717;@brasil35584269969;Cloridrato de Paroxetina 20 mg comprimido
122718;@brasil43653982440;Cloridrato de Paroxetina 20 mg comprimido
122719;@brasil87036842726;Praxetina 20 mg comprimido
122720;@brasil22891336496;Cloridrato de Paroxetina 20 mg comprimido
122721;@brasil13248615208;Cloridrato de Paroxetina 20 mg comprimido
122722;@brasil77593110931;Depaxan 20 mg comprimido
122723;@brasil63297612909;Cloridrato de Paroxetina 20 mg comprimido
122724;@brasil94260118984;Cloridrato de Paroxetina 20 mg comprimido
122725;@brasil23827565089;Deeplin 20 mg comprimido
122726;@brasil40186713858;Cloridrato de Paroxetina 20 mg comprimido
122727;@brasil15726605707;Paxtrat 20 mg comprimido
122729;@brasil44282382473;Cloridrato de Paroxetina 20 mg comprimido
122730;@brasil45642277935;Cloridrato de Paroxetina 20 mg comprimido
122731;@brasil74178443830;Parox 20 mg comprimido
122732;@brasil50057611379;Cloridrato de Paroxetina 20 mg comprimido
122733;@brasil71731051313;Moratus 20 mg comprimido
122734;@brasil70151737919;Aropax 20 mg comprimido
122735;@brasil61392695473;Roxetin 20 mg comprimido
122736;@brasil10737255346;Cloridrato de Paroxetina 20 mg comprimido
122737;@brasil85707574184;Cloridrato de Paroxetina 20 mg comprimido
122751;@brasil33819911700;Cloridrato de Paroxetina 20 mg comprimido
122752;@brasil28696424728;Cebrilin 20 mg comprimido
122753;@brasil19963119248;Cloridrato de Paroxetina 20 mg comprimido
122754;@brasil90195287599;Pondera 30 mg comprimido
122757;@brasil16768457491;Roxetin 30 mg comprimido
122758;@brasil69876600252;Cebrilin 30 mg comprimido
122759;@brasil11620224698;Bromidrato de Citalopram 20 mg comprimido
122761;@brasil85723152567;Menelat 30 mg comprimido
122762;@brasil53714484902;Razapina 30 mg comprimido
122763;@brasil34019047232;Mirtazapina 30 mg comprimido
122776;@brasil93220423571;Domperix 1 mg/mL suspensão oral
122777;@brasil36971641320;Domperidona 1 mg/mL suspensão oral
122779;@brasil79919437066;Peridal 1 mg/mL suspensão oral
122780;@brasil78745045120;Motilium 1 mg/mL suspensão oral
122781;@brasil27587206335;Naumetron 10 mg/2 mL solução para injeção
122782;@brasil11589374088;Noprosil 10 mg/2 mL solução para injeção
122783;@brasil33057045447;Metrofarma 10 mg/2 mL solução para injeção
122785;@brasil22882584665;Plagex 10 mg/2 mL solução para injeção
122786;@brasil78881026570;Metoclosantisa 10 mg/2 mL solução para injeção
122788;@brasil28914789674;Plasil 10 mg/2 mL solução para injeção
122790;@brasil32786952234;Cloridrato de Ondansetrona 4 mg/2 mL solução para injeção
122791;@brasil85988109285;Ontrax 4 mg/2 mL solução para injeção
122792;@brasil70145576841;Cloridrato de Ondansetrona 4 mg/2 mL solução para injeção
122794;@brasil91484853374;Ansentron 4 mg/2 mL solução para injeção
122795;@brasil92097864402;Vonau 4 mg/2 mL solução para injeção
122796;@brasil64751219402;Cloridrato de Ondansetrona 4 mg/2 mL solução para injeção
122797;@brasil37869971749;Cloridrato de Ondansetrona 4 mg/2 mL solução para injeção
122799;@brasil19981208334;Nausedron 4 mg/2 mL solução para injeção
122800;@brasil51602192025;Zofran 4 mg/2 mL solução para injeção
122801;@brasil98723343606;Ontrax 8 mg/4 mL solução para injeção
122802;@brasil82441595627;Cloridrato de Ondansetrona 8 mg/4 mL solução para injeção
122804;@brasil19440650810;Ansentron 8 mg/4 mL solução para injeção
122805;@brasil97785302011;Vonau 8 mg/4 mL solução para injeção
122806;@brasil25800808420;Cloridrato de Ondansetrona 8 mg/4 mL solução para injeção
122807;@brasil59228140097;Cloridrato de Ondansetrona 8 mg/4 mL solução para injeção
122808;@brasil43615314346;Nausedron 8 mg/4 mL solução para injeção
122811;@brasil24849471862;Zofran 8 mg/4 mL solução para injeção
122813;@brasil68075822854;Flanax 275 mg comprimido
122814;@brasil76340245295;Mytedom 5 mg comprimido
122815;@brasil49548109188;Mytedom 10 mg/1 mL solução para injeção
122816;@brasil83601130197;Cloridrato de Nalbufina 10 mg/1 mL solução para injeção
122817;@brasil30941465697;Nubain 10 mg/1 mL solução para injeção
122818;@brasil52823506831;Rapitram 100 mg/2 mL solução para injeção
122820;@brasil49661085503;Cloridrato de Tramadol 100 mg/2 mL solução para injeção
122822;@brasil36686812077;Cloridrato de Tramadol 100 mg/2 mL solução para injeção
122824;@brasil81117606364;Cloridrato de Tramadol 100 mg/2 mL solução para injeção
122825;@brasil40554976682;Tramaliv 100 mg/2 mL solução para injeção
122826;@brasil81789894594;Cloridrato de Tramadol 100 mg/2 mL solução para injeção
122827;@brasil35733114470;Tramal 100 mg/2 mL solução para injeção
122828;@brasil89466007102;Tramadon 100 mg/2 mL solução para injeção
122829;@brasil18980379925;Tramal 50 mg cápsula
122830;@brasil22228338648;Cloridrato de Tramadol 50 mg cápsula
122831;@brasil49602246062;Cloridrato de Tramadol 50 mg cápsula
122832;@brasil28782108185;Cloridrato de Tramadol 50 mg cápsula
122833;@brasil43929161804;Cloridrato de Tramadol 50 mg cápsula
122846;@brasil63336822803;Cloridrato de Tramadol 50 mg cápsula
122860;@brasil80792647346;Cloridrato de Tramadol 50 mg cápsula
122863;@brasil32216203802;Tramaliv 50 mg cápsula
122864;@brasil30872616673;Cloridrato de Tramadol 50 mg cápsula
122865;@brasil27863561930;Cloridrato de Tramadol 50 mg cápsula
122866;@brasil52191908665;Tramadon 50 mg cápsula
122867;@brasil22558454777;Cloridrato de Tramadol 50 mg cápsula
122868;@brasil84025965539;Sutriptan 50 mg comprimido
122869;@brasil15832915522;Succinato de Sumatriptana 50 mg comprimido
122870;@brasil19479508776;Imigran 50 mg comprimido
122871;@brasil74219159000;Sumax 50 mg comprimido
122872;@brasil89597670267;Maxalt 10 mg comprimido
122873;@brasil47039568551;Clonazepam 2 mg comprimido
122875;@brasil98081870421;Fenobarbital 200 mg/1 mL solução para injeção
122876;@brasil21762137120;Carbital 200 mg/1 mL solução para injeção
122877;@brasil92089577543;Primid 250 mg comprimido
122878;@brasil37399712123;Sabril 500 mg comprimido
122879;@brasil85544249064;Nootropil 800 mg comprimido
122880;@brasil21942909550;Gabapentina 300 mg cápsula
122882;@brasil19395379913;Gabapentina 300 mg cápsula
122883;@brasil54804179720;Gabaneurin 300 mg cápsula
122884;@brasil73538454632;Gabapentina 300 mg cápsula
122885;@brasil46098672320;Gabapentina 300 mg cápsula
122886;@brasil49202581402;Gabapentina 300 mg cápsula
122887;@brasil87908772896;Gabapentina 300 mg cápsula
122888;@brasil87692995506;Gabapentina 300 mg cápsula
122889;@brasil54553024378;Gabatin 300 mg cápsula
122890;@brasil24460034537;Gabapentina 300 mg cápsula
122891;@brasil81158941245;Neurocontrol 300 mg cápsula
122892;@brasil81881104726;Gabapentina 300 mg cápsula
122893;@brasil20916431552;Gabapentina 300 mg cápsula
122894;@brasil92346689958;Gabapentina 300 mg cápsula
122907;@brasil33727712487;Neurontin 300 mg cápsula
122908;@brasil69012767769;Gabapentina 400 mg cápsula
122910;@brasil11985886168;Gabapentina 400 mg cápsula
122911;@brasil21540635916;Gabaneurin 400 mg cápsula
122912;@brasil25075153435;Gabapentina 400 mg cápsula
122913;@brasil12656397510;Gabapentina 400 mg cápsula
122914;@brasil57004698036;Gabapentina 400 mg cápsula
122915;@brasil59260589439;Gabapentina 400 mg cápsula
122916;@brasil20796587250;Gabatin 400 mg cápsula
122917;@brasil47539237025;Gabapentina 400 mg cápsula
122918;@brasil77630124332;Neurocontrol 400 mg cápsula
122919;@brasil60235180957;Gabapentina 400 mg cápsula
122920;@brasil17234217226;Gabapentina 400 mg cápsula
122921;@brasil90112453631;Gabapentina 400 mg cápsula
122922;@brasil87510480284;Neurontin 400 mg cápsula
122923;@brasil33809091095;Gabapentina 400 mg cápsula
122924;@brasil55738555654;Gabaneurin 600 mg comprimido
122925;@brasil32706998068;Gabapentina 600 mg comprimido
122926;@brasil74992666418;Gabapentina 600 mg comprimido
122927;@brasil65821474412;Gabapentina 600 mg comprimido
122928;@brasil41997151069;Neurontin 600 mg comprimido
122929;@brasil53658441687;Topiramato 50 mg comprimido
122930;@brasil75826866146;Arasid 50 mg comprimido
122931;@brasil74708908485;Topiramato 50 mg comprimido
122932;@brasil88856029195;Sigmax 50 mg comprimido
122933;@brasil92454970012;Topamax 50 mg comprimido
122934;@brasil66552605472;Topiramato 50 mg comprimido
122935;@brasil40773110723;Topiramato 50 mg comprimido
122936;@brasil70903453570;Vidmax 50 mg comprimido
122937;@brasil17238971331;Topiramato 50 mg comprimido
122939;@brasil86213453794;Topiramato 50 mg comprimido
122940;@brasil79675463302;Topiramato 50 mg comprimido
122941;@brasil71254614511;Topit 50 mg comprimido
122943;@brasil27711222190;Topiramato 50 mg comprimido
122944;@brasil52782785184;Toptil 50 mg comprimido
122945;@brasil40683289538;Topiramato 50 mg comprimido
122946;@brasil25238829558;Topiramato 50 mg comprimido
122947;@brasil28882125349;Amato 50 mg comprimido
122948;@brasil88464442924;Égide 50 mg comprimido
122950;@brasil80753844089;Arasid 100 mg comprimido
122951;@brasil61793975302;Topiramato 100 mg comprimido
122952;@brasil18612820374;Topamax 100 mg comprimido
122953;@brasil74936270335;Topiramato 100 mg comprimido
122954;@brasil44761062446;Topiramato 100 mg comprimido
