"id";"Name";"Description";"name_en";"id_pai"
F16.9;Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno mental ou comportamental não especificado;F16.9 Transt mental ou comport NE;Mental and behavioural disorders due to use of hal;"430"
F17.0;Transtornos mentais e comportamentais devidos ao uso de fumo - intoxicação aguda;F17.0 Intox aguda;Mental and behavioural disorders due to use of tob;"431"
F17.1;Transtornos mentais e comportamentais devidos ao uso de fumo - uso nocivo para a saúde;F17.1 Uso nocivo p/a saude;Mental and behavioural disorders due to use of tob;"431"
F17.2;Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome de dependência;F17.2 Sindr de dependencia;Mental and behavioural disorders due to use of tob;"431"
F17.3;Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome [estado] de abstinência;F17.3 Sindr de abstinencia;Mental and behavioural disorders due to use of tob;"431"
F17.4;Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome de abstinência com delirium;F17.4 Sindr de abstinencia c/delirium;Mental and behavioural disorders due to use of tob;"431"
F17.5;Transtornos mentais e comportamentais devidos ao uso de fumo - transtorno psicótico;F17.5 Transt psicotico;Mental and behavioural disorders due to use of tob;"431"
F17.6;Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome amnésica;F17.6 Sindr amnesica;Mental and behavioural disorders due to use of tob;"431"
F17.7;Transtornos mentais e comportamentais devidos ao uso de fumo - transtorno psicótico residual ou de instalação tardia;F17.7 Trans psicotico residual instalacao tard;Mental and behavioural disorders due to use of tob;"431"
F17.8;Transtornos mentais e comportamentais devidos ao uso de fumo - outros transtornos mentais ou comportamentais;F17.8 Outr transt mentais ou comport;Mental and behavioural disorders due to use of tob;"431"
F17.9;Transtornos mentais e comportamentais devidos ao uso de fumo - transtorno mental ou comportamental não especificado;F17.9 Transt mental ou comport NE;Mental and behavioural disorders due to use of tob;"431"
F18.0;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - intoxicação aguda;F18.0 Intox aguda;Mental and behavioural disorders due to use of vol;"432"
F18.1;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - uso nocivo para a saúde;F18.1 Uso nocivo p/a saude;Mental and behavioural disorders due to use of vol;"432"
F18.2;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - síndrome de dependência;F18.2 Sindr de dependencia;Mental and behavioural disorders due to use of vol;"432"
F18.3;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - síndrome [estado] de abstinência;F18.3 Sindr de abstinencia;Mental and behavioural disorders due to use of vol;"432"
F18.4;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - síndrome de abstinência com delirium;F18.4 Sindr de abstinencia c/delirium;Mental and behavioural disorders due to use of vol;"432"
F18.5;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - transtorno psicótico;F18.5 Transt psicotico;Mental and behavioural disorders due to use of vol;"432"
F18.6;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - síndrome amnésica;F18.6 Sindr amnesica;Mental and behavioural disorders due to use of vol;"432"
F18.7;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - transtorno psicótico residual ou de instalação tard;F18.7 Trans psicotico residual instalacao tard;Mental and behavioural disorders due to use of vol;"432"
F18.8;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - outros transtornos mentais ou comportamentais;F18.8 Outr transt mentais ou comport;Mental and behavioural disorders due to use of vol;"432"
F18.9;Transtornos mentais e comportamentais devidos ao uso de solventes voláteis - transtorno mental ou comportamental não especificad;F18.9 Transt mental ou comport NE;Mental and behavioural disorders due to use of vol;"432"
F19.0;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - intoxicaçã;F19.0 Intox aguda;Mental and behavioural disorders due to multiple d;"433"
F19.1;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - uso nocivo;F19.1 Uso nocivo p/a saude;Mental and behavioural disorders due to multiple d;"433"
F19.2;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - síndrome d;F19.2 Sindr de dependencia;Mental and behavioural disorders due to multiple d;"433"
F19.3;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - síndrome [;F19.3 Sindr de abstinencia;Mental and behavioural disorders due to multiple d;"433"
F19.4;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - síndrome d;F19.4 Sindr de abstinencia c/delirium;Mental and behavioural disorders due to multiple d;"433"
F19.5;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno;F19.5 Transt psicotico;Mental and behavioural disorders due to multiple d;"433"
F19.6;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - síndrome a;F19.6 Sindr amnesica;Mental and behavioural disorders due to multiple d;"433"
F19.7;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno;F19.7 Trans psicotico residual instalacao tard;Mental and behavioural disorders due to multiple d;"433"
F19.8;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - outros tra;F19.8 Outr transt mentais ou comport;Mental and behavioural disorders due to multiple d;"433"
F19.9;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno;F19.9 Transt mental ou comport NE;Mental and behavioural disorders due to multiple d;"433"
F20.0;Esquizofrenia paranóide;F20.0 Esquizofrenia paranoide;Paranoid schizophrenia;"434"
F20.1;Esquizofrenia hebefrênica;F20.1 Esquizofrenia hebefrenica;Hebephrenic schizophrenia;"434"
F20.2;Esquizofrenia catatônica;F20.2 Esquizofrenia catatonica;Catatonic schizophrenia;"434"
F20.3;Esquizofrenia indiferenciada;F20.3 Esquizofrenia indiferenciada;Undifferentiated schizophrenia;"434"
F20.4;Depressão pós-esquizofrênica;F20.4 Depressao pos-esquizofrenica;Post-schizophrenic depression;"434"
F20.5;Esquizofrenia residual;F20.5 Esquizofrenia residual;Residual schizophrenia;"434"
F20.6;Esquizofrenia simples;F20.6 Esquizofrenia simples;Simple schizophrenia;"434"
F20.8;Outras esquizofrenias;F20.8 Outr esquizofrenias;Other schizophrenia;"434"
F20.9;Esquizofrenia não especificada;F20.9 Esquizofrenia NE;Schizophrenia, unspecified;"434"
F22.0;Transtorno delirante;F22.0 Transt delirante;Delusional disorder;"436"
F22.8;Outros transtornos delirantes persistentes;F22.8 Outr transt delirantes persistentes;Other persistent delusional disorders;"436"
F22.9;Transtorno delirante persistente não especificado;F22.9 Transt delirante persistente NE;Persistent delusional disorder, unspecified;"436"
F23.0;Transtorno psicótico agudo polimorfo, sem sintomas esquizofrênicos;F23.0 Transt psicot agudo polimorf s/sint esquizof;Acute polymorphic psychotic disorder without sympt;"437"
F23.1;Transtorno psicótico agudo polimorfo, com sintomas esquizofrênicos;F23.1 Transt psicot agudo polimorf c/sint esquizof;Acute polymorphic psychotic disorder with symptoms;"437"
F23.2;Transtorno psicótico agudo de tipo esquizofrênico (schizophrenia-like);F23.2 Transt psicotico agudo tipo esquizofrenico;Acute schizophrenia-like psychotic disorder;"437"
F23.3;Outros transtornos psicóticos agudos, essencialmente delirantes;F23.3 Outr transt psicot agudos essenc delirantes;Other acute predominantly delusional psychotic dis;"437"
F23.8;Outros transtornos psicóticos agudos e transitórios;F23.8 Outr transt psicoticos agudos e transitorios;Other acute and transient psychotic disorders;"437"
F23.9;Transtorno psicótico agudo e transitório não especificado;F23.9 Transt psicotico agudo e transitorio NE;Acute and transient psychotic disorder, unspecifie;"437"
F25.0;Transtorno esquizoafetivo do tipo maníaco;F25.0 Transt esquizoafetivo do tipo maniaco;Schizoaffective disorder, manic type;"439"
F25.1;Transtorno esquizoafetivo do tipo depressivo;F25.1 Transt esquizoafetivo do tipo depressivo;Schizoaffective disorder, depressive type;"439"
F25.2;Transtorno esquizoafetivo do tipo misto;F25.2 Transt esquizoafetivo do tipo misto;Schizoaffective disorder, mixed type;"439"
F25.8;Outros transtornos esquizoafetivos;F25.8 Outr transt esquizoafetivos;Other schizoaffective disorders;"439"
F25.9;Transtorno esquizoafetivo não especificado;F25.9 Transt esquizoafetivo NE;Schizoaffective disorder, unspecified;"439"
F30.0;Hipomania;F30.0 Hipomania;Hypomania;"442"
F30.1;Mania sem sintomas psicóticos;F30.1 Mania s/sint psicoticos;Mania without psychotic symptoms;"442"
F30.2;Mania com sintomas psicóticos;F30.2 Mania c/sint psicoticos;Mania with psychotic symptoms;"442"
F30.8;Outros episódios maníacos;F30.8 Outr episodios maniacos;Other manic episodes;"442"
F30.9;Episódio maníaco não especificado;F30.9 Episodio maniaco NE;Manic episode, unspecified;"442"
F31.0;Transtorno afetivo bipolar, episódio atual hipomaníaco;F31.0 Transt afet bipolar episodio atual hipoman;Bipolar affective disorder, current episode hypoma;"443"
F31.1;Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos;F31.1 Trans afet bip epis atual man s/sint psicot;Bipolar affective disorder, current episode manic ;"443"
F31.2;Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos;F31.2 Trans afet bip epis atual man c/sint psicot;Bipolar affective disorder, current episode manic ;"443"
F31.3;Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado;F31.3 Trans afet bip epis atual depr leve/ moderad;Bipolar affective disorder, current episode mild o;"443"
F31.4;Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos;F31.4 Trans afet bip atual depr grav s/sint psicot;Bipolar affective disorder, current episode severe;"443"
F31.5;Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos;F31.5 Trans afet bip atual depr grav c/sint psicot;Bipolar affective disorder, current episode severe;"443"
F31.6;Transtorno afetivo bipolar, episódio atual misto;F31.6 Transt afetivo bipolar episodio atual misto;Bipolar affective disorder, current episode mixed;"443"
F31.7;Transtorno afetivo bipolar, atualmente em remissão;F31.7 Transt afet bipolar atualmente em remissao;Bipolar affective disorder, currently in remission;"443"
F31.8;Outros transtornos afetivos bipolares;F31.8 Outr transt afetivos bipolares;Other bipolar affective disorders;"443"
F31.9;Transtorno afetivo bipolar não especificado;F31.9 Transt afetivo bipolar NE;Bipolar affective disorder, unspecified;"443"
F32.0;Episódio depressivo leve;F32.0 Episodio depressivo leve;Mild depressive episode;"444"
F32.1;Episódio depressivo moderado;F32.1 Episodio depressivo moderado;Moderate depressive episode;"444"
F32.2;Episódio depressivo grave sem sintomas psicóticos;F32.2 Episodio depressivo grave s/sint psicoticos;Severe depressive episode without psychotic sympto;"444"
F32.3;Episódio depressivo grave com sintomas psicóticos;F32.3 Episodio depressivo grave c/sint psicoticos;Severe depressive episode with psychotic symptoms;"444"
F32.8;Outros episódios depressivos;F32.8 Outr episodios depressivos;Other depressive episodes;"444"
F32.9;Episódio depressivo não especificado;F32.9 Episodio depressivo NE;Depressive episode, unspecified;"444"
F33.0;Transtorno depressivo recorrente, episódio atual leve;F33.0 Transt depressivo recorr episodio atual leve;Recurrent depressive disorder, current episode mil;"445"
F33.1;Transtorno depressivo recorrente, episódio atual moderado;F33.1 Transt depress recorr episodio atual moderad;Recurrent depressive disorder, current episode mod;"445"
F33.2;Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos;F33.2 Trans depr recor epis atual grav s/sint psic;Recurrent depressive disorder, current episode sev;"445"
F33.3;Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos;F33.3 Trans depr recor epis atual grav c/sint psic;Recurrent depressive disorder, current episode sev;"445"
F33.4;Transtorno depressivo recorrente, atualmente em remissão;F33.4 Transt depress recorr atualmente em remissao;Recurrent depressive disorder, currently in remiss;"445"
F33.8;Outros transtornos depressivos recorrentes;F33.8 Outr transt depressivos recorrentes;Other recurrent depressive disorders;"445"
F33.9;Transtorno depressivo recorrente sem especificação;F33.9 Transt depressivo recorrente s/especificacao;Recurrent depressive disorder, unspecified;"445"
F34.0;Ciclotimia;F34.0 Ciclotimia;Cyclothymia;"446"
F34.1;Distimia;F34.1 Distimia;Dysthymia;"446"
F34.8;Outros transtornos do humor [afetivos] persistentes;F34.8 Outr transt do humor persistentes;Other persistent mood [affective] disorders;"446"
F34.9;Transtorno do humor [afetivo] persistente não especificado;F34.9 Transt do humor persistente NE;Persistent mood [affective] disorder, unspecified;"446"
F38.0;Outros transtornos do humor [afetivos] isolados;F38.0 Outr transt do humor isolados;Other single mood [affective] disorders;"447"
F38.1;Outros transtornos do humor [afetivos] recorrentes;F38.1 Outr transt do humor recorrentes;Other recurrent mood [affective] disorders;"447"
F38.8;Outros transtornos especificados do humor [afetivos];F38.8 Outr transt espec do humor;Other specified mood [affective] disorders;"447"
F40.0;Agorafobia;F40.0 Agorafobia;Agoraphobia;"449"
F40.1;Fobias sociais;F40.1 Fobias sociais;Social phobias;"449"
F40.2;Fobias específicas (isoladas);F40.2 Fobias especificas;Specific (isolated) phobias;"449"
F40.8;Outros transtornos fóbico-ansiosos;F40.8 Outr transt fobico-ansiosos;Other phobic anxiety disorders;"449"
F40.9;Transtorno fóbico-ansioso não especificado;F40.9 Transt fobico-ansioso NE;Phobic anxiety disorder, unspecified;"449"
F41.0;Transtorno de pânico [ansiedade paroxística episódica];F41.0 Transt de panico;Panic disorder [episodic paroxysmal anxiety];"450"
F41.1;Ansiedade generalizada;F41.1 Ansiedade generalizada;Generalized anxiety disorder;"450"
F41.2;Transtorno misto ansioso e depressivo;F41.2 Transt misto ansioso e depressivo;Mixed anxiety and depressive disorder;"450"
F41.3;Outros transtornos ansiosos mistos;F41.3 Outr transt ansiosos mistos;Other mixed anxiety disorders;"450"
F41.8;Outros transtornos ansiosos especificados;F41.8 Outr transt ansiosos espec;Other specified anxiety disorders;"450"
F41.9;Transtorno ansioso não especificado;F41.9 Transt ansioso NE;Anxiety disorder, unspecified;"450"
F42.0;Transtorno obsessivo-compulsivo com predominância de idéias ou de ruminações obsessivas;F42.0 Com predom ideias ou ruminacoes obsessivas;Predominantly obsessional thoughts or ruminations;"451"
F42.1;Transtorno obsessivo-compulsivo com predominância de comportamentos compulsivos [rituais obsessivos];F42.1 Com predom de comport compulsivos;Predominantly compulsive acts [obsessional rituals;"451"
F42.2;Transtorno obsessivo-compulsivo, forma mista, com idéias obsessivas e comportamentos compulsivos;F42.2 Form mista c/ideias obsess e comport compuls;Mixed obsessional thoughts and acts;"451"
F42.8;Outros transtornos obsessivo-compulsivos;F42.8 Outr transt obsessivo-compulsivos;Other obsessive-compulsive disorders;"451"
F42.9;Transtorno obsessivo-compulsivo não especificado;F42.9 Transt obsessivo-compulsivo NE;Obsessive-compulsive disorder, unspecified;"451"
F43.0;"Reação aguda ao ""stress""";F43.0 Reacao aguda ao stress;Acute stress reaction;"452"
F43.1;"Estado de ""stress"" pós-traumático";F43.1 Estado de stress pos-traum;Post-traumatic stress disorder;"452"
F43.2;Transtornos de adaptação;F43.2 Transt de adaptacao;Adjustment disorders;"452"
F43.8;"Outras reações ao ""stress"" grave";F43.8 Outr reacoes ao stress grave;Other reactions to severe stress;"452"
F43.9;"Reação não especificada a um ""stress"" grave";F43.9 Reacao NE a um stress grave;Reaction to severe stress, unspecified;"452"
F44.0;Amnésia dissociativa;F44.0 Amnesia dissociativa;Dissociative amnesia;"453"
F44.1;Fuga dissociativa;F44.1 Fuga dissociativa;Dissociative fugue;"453"
F44.2;Estupor dissociativo;F44.2 Estupor dissociativo;Dissociative stupor;"453"
F44.3;Estados de transe e de possessão;F44.3 Estados de transe e de possessao;Trance and possession disorders;"453"
F44.4;Transtornos dissociativos do movimento;F44.4 Transt dissociativos do movimento;Dissociative motor disorders;"453"
F44.5;Convulsões dissociativas;F44.5 Convulsoes dissociativas;Dissociative convulsions;"453"
F44.6;Anestesia e perda sensorial dissociativas;F44.6 Anestesia e perda sensorial dissociativas;Dissociative anaesthesia and sensory loss;"453"
F44.7;Transtorno dissociativo misto [de conversão];F44.7 Transt dissociativo misto;Mixed dissociative [conversion] disorders;"453"
F44.8;Outros transtornos dissociativos [de conversão];F44.8 Outr transt dissociativos;Other dissociative [conversion] disorders;"453"
F44.9;Transtorno dissociativo [de conversão] não especificado;F44.9 Transt dissociativo NE;Dissociative [conversion] disorder, unspecified;"453"
F45.0;Transtorno de somatização;F45.0 Transt de somatizacao;Somatization disorder;"454"
F45.1;Transtorno somatoforme indiferenciado;F45.1 Transt somatoforme indiferenciado;Undifferentiated somatoform disorder;"454"
F45.2;Transtorno hipocondríaco;F45.2 Transt hipocondriaco;Hypochondriacal disorder;"454"
F45.3;Transtorno neurovegetativo somatoforme;F45.3 Transt neurovegetativo somatoforme;Somatoform autonomic dysfunction;"454"
F45.4;Transtorno doloroso somatoforme persistente;F45.4 Transt doloroso somatoforme persistente;Persistent somatoform pain disorder;"454"
F45.8;Outros transtornos somatoformes;F45.8 Outr transt somatoformes;Other somatoform disorders;"454"
F45.9;Transtorno somatoforme não especificado;F45.9 Transt somatoforme NE;Somatoform disorder, unspecified;"454"
F48.0;Neurastenia;F48.0 Neurastenia;Neurasthenia;"455"
F48.1;Síndrome de despersonalização-desrealização;F48.1 Sindr de despersonalizacao-desrealizacao;Depersonalization-derealization syndrome;"455"
F48.8;Outros transtornos neuróticos especificados;F48.8 Outr transt neuroticos espec;Other specified neurotic disorders;"455"
F48.9;Transtorno neurótico não especificado;F48.9 Transt neurotico NE;Neurotic disorder, unspecified;"455"
F50.0;Anorexia nervosa;F50.0 Anorexia nervosa;Anorexia nervosa;"456"
F50.1;Anorexia nervosa atípica;F50.1 Anorexia nervosa atipica;Atypical anorexia nervosa;"456"
F50.2;Bulimia nervosa;F50.2 Bulimia nervosa;Bulimia nervosa;"456"
F50.3;Bulimia nervosa atípica;F50.3 Bulimia nervosa atipica;Atypical bulimia nervosa;"456"
F50.4;Hiperfagia associada a outros distúrbios psicológicos;F50.4 Hiperfagia assoc outr disturb psicologicos;Overeating associated with other psychological dis;"456"
F50.5;Vômitos associados a outros distúrbios psicológicos;F50.5 Vomitos assoc a outr disturbios psicologicos;Vomiting associated with other psychological distu;"456"
F50.8;Outros transtornos da alimentação;F50.8 Outr transt da alimentacao;Other eating disorders;"456"
F50.9;Transtorno de alimentação não especificado;F50.9 Transt de alimentacao NE;Eating disorder, unspecified;"456"
F51.0;Insônia não-orgânica;F51.0 Insonia nao-organica;Nonorganic insomnia;"457"
F51.1;Hipersonia não-orgânica;F51.1 Hipersonia nao-organica;Nonorganic hypersomnia;"457"
F51.2;Transtorno do ciclo vigília-sono devido a fatores não-orgânicos;F51.2 Transt ciclo vigilia-sono dev fat nao-organ;Nonorganic disorder of the sleep-wake schedule;"457"
F51.3;Sonambulismo;F51.3 Sonambulismo;Sleepwalking [somnambulism];"457"
F51.4;Terrores noturnos;F51.4 Terrores noturnos;Sleep terrors [night terrors];"457"
F51.5;Pesadelos;F51.5 Pesadelos;Nightmares;"457"
F51.8;Outros transtornos do sono devidos a fatores não-orgânicos;F51.8 Outr transt do sono dev fat nao-organicos;Other nonorganic sleep disorders;"457"
F51.9;Transtorno do sono devido a fatores não-orgânicos não especificados;F51.9 Transt do sono dev fatores nao-organicos NE;Nonorganic sleep disorder, unspecified;"457"
F52.0;Ausência ou perda do desejo sexual;F52.0 Ausencia ou perda do desejo sexual;Lack or loss of sexual desire;"458"
F52.1;Aversão sexual e ausência de prazer sexual;F52.1 Aversao sexual e ausencia de prazer sexual;Sexual aversion and lack of sexual enjoyment;"458"
F52.2;Falha de resposta genital;F52.2 Falha de resposta genital;Failure of genital response;"458"
F52.3;Disfunção orgásmica;F52.3 Disfuncao orgasmica;Orgasmic dysfunction;"458"
F52.4;Ejaculação precoce;F52.4 Ejaculacao precoce;Premature ejaculation;"458"
F52.5;Vaginismo não-orgânico;F52.5 Vaginismo nao-organico;Nonorganic vaginismus;"458"
F52.6;Dispareunia não-orgânica;F52.6 Dispareunia nao-organica;Nonorganic dyspareunia;"458"
F52.7;Apetite sexual excessivo;F52.7 Apetite sexual excessivo;Excessive sexual drive;"458"
F52.8;Outras disfunções sexuais não devidas a transtorno ou à doença orgânica;F52.8 Outr disfunc sex n dev transt doenc organ;Other sexual dysfunction, not caused by organic di;"458"
F52.9;Disfunção sexual não devida a transtorno ou à doença orgânica, não especificada;F52.9 Disfuncao sexual n dev transt doenc organ NE;Unspecified sexual dysfunction, not caused by orga;"458"
F53.0;Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte;F53.0 Transt ment comport leves assoc puerp NCOP;Mild mental and behavioural disorders associated w;"459"
F53.1;Transtornos mentais e comportamentais graves associados ao puerpério não classificados em outra parte;F53.1 Transt ment comport graves assoc puerp NCOP;Severe mental and behavioural disorders associated;"459"
F53.8;Outros transtornos mentais e comportamentais associados ao puerpério não classificados em outra parte;F53.8 Outr transt mentais comport assoc puerp NCOP;Other mental and behavioural disorders associated ;"459"
F53.9;Transtorno mental e comportamental associado ao puerpério, não especificado;F53.9 Transt mental e comport assoc puerperio NE;Puerperal mental disorder, unspecified;"459"
F60.0;Personalidade paranóica;F60.0 Personalidade paranoica;Paranoid personality disorder;"463"
F60.1;Personalidade esquizóide;F60.1 Personalidade esquizoide;Schizoid personality disorder;"463"
F60.2;Personalidade dissocial;F60.2 Personalidade dissocial;Dissocial personality disorder;"463"
F60.3;Transtorno de personalidade com instabilidade emocional;F60.3 Transt de personalidade c/instab emocional;Emotionally unstable personality disorder;"463"
F60.4;Personalidade histriônica;F60.4 Personalidade histrionica;Histrionic personality disorder;"463"
F60.5;Personalidade anancástica;F60.5 Personalidade anancastica;Anankastic personality disorder;"463"
F60.6;Personalidade ansiosa [esquiva];F60.6 Personalidade ansiosa;Anxious [avoidant] personality disorder;"463"
F60.7;Personalidade dependente;F60.7 Personalidade dependente;Dependent personality disorder;"463"
F60.8;Outros transtornos específicos da personalidade;F60.8 Outr transt especificos da personalidade;Other specific personality disorders;"463"
F60.9;Transtorno não especificado da personalidade;F60.9 Transt NE da personalidade;Personality disorder, unspecified;"463"
F62.0;Modificação duradoura da personalidade após uma experiência catastrófica;F62.0 Modif durad personalid apos exper catastr;Enduring personality change after catastrophic exp;"465"
F62.1;Modificação duradoura da personalidade após doença psiquiátrica;F62.1 Modif durad personalid apos doenc psiquiatr;Enduring personality change after psychiatric illn;"465"
F62.8;Outras modificações duradouras da personalidade;F62.8 Outr modificacoes duradouras personalidade;Other enduring personality changes;"465"
F62.9;Modificação duradoura da personalidade, não especificada;F62.9 Modificacao duradoura da personalidade NE;Enduring personality change, unspecified;"465"
F63.0;Jogo patológico;F63.0 Jogo patologico;Pathological gambling;"466"
F63.1;Piromania;F63.1 Piromania;Pathological fire-setting [pyromania];"466"
F63.2;Roubo patológico [cleptomania];F63.2 Roubo patologico;Pathological stealing [kleptomania];"466"
F63.3;Tricotilomania;F63.3 Tricotilomania;Trichotillomania;"466"
F63.8;Outros transtornos dos hábitos e dos impulsos;F63.8 Outr transt dos habitos e dos impulsos;Other habit and impulse disorders;"466"
F63.9;Transtorno dos hábitos e impulsos, não especificado;F63.9 Transt dos habitos e impulsos NE;Habit and impulse disorder, unspecified;"466"
F64.0;Transexualismo;F64.0 Transexualismo;Transsexualism;"467"
F64.1;Travestismo bivalente;F64.1 Travestismo bivalente;Dual-role transvestism;"467"
F64.2;Transtorno de identidade sexual na infância;F64.2 Transt de identidade sexual na infancia;Gender identity disorder of childhood;"467"
F64.8;Outros transtornos da identidade sexual;F64.8 Outr transt da identidade sexual;Other gender identity disorders;"467"
F64.9;Transtorno não especificado da identidade sexual;F64.9 Transt NE da identidade sexual;Gender identity disorder, unspecified;"467"
F65.0;Fetichismo;F65.0 Fetichismo;Fetishism;"468"
F65.1;Travestismo fetichista;F65.1 Travestismo fetichista;Fetishistic transvestism;"468"
F65.2;Exibicionismo;F65.2 Exibicionismo;Exhibitionism;"468"
F65.3;Voyeurismo;F65.3 Voyeurismo;Voyeurism;"468"
F65.4;Pedofilia;F65.4 Pedofilia;Paedophilia;"468"
F65.5;Sadomasoquismo;F65.5 Sadomasoquismo;Sadomasochism;"468"
F65.6;Transtornos múltiplos da preferência sexual;F65.6 Transt mult da preferencia sexual;Multiple disorders of sexual preference;"468"
F65.8;Outros transtornos da preferência sexual;F65.8 Outr transt da preferencia sexual;Other disorders of sexual preference;"468"
F65.9;Transtorno da preferência sexual, não especificado;F65.9 Transt da preferencia sexual NE;Disorder of sexual preference, unspecified;"468"
F66.0;Transtorno da maturação sexual;F66.0 Transt da maturacao sexual;Sexual maturation disorder;"469"
F66.1;Orientação sexual egodistônica;F66.1 Orientacao sexual egodistonica;Egodystonic sexual orientation;"469"
F66.2;Transtorno do relacionamento sexual;F66.2 Transt do relacionamento sexual;Sexual relationship disorder;"469"
F66.8;Outros transtornos do desenvolvimento psicossexual;F66.8 Outr transt do desenvolv psicossexual;Other psychosexual development disorders;"469"
F66.9;Transtorno do desenvolvimento sexual, não especificado;F66.9 Transt do desenvolv sexual NE;Psychosexual development disorder, unspecified;"469"
F68.0;Sintomas físicos aumentados por fatores psicológicos;F68.0 Sint fisicos aument p/fatores psicologicos;Elaboration of physical symptoms for psychological;"470"
F68.1;Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício];F68.1 Prod delib ou simul sint incapac fisic psic;Intentional production or feigning of symptoms or ;"470"
F68.8;Outros transtornos especificados da personalidade e do comportamento do adulto;F68.8 Outr transt espec personal e comport adulto;Other specified disorders of adult personality and;"470"
F70.0;Retardo mental leve - menção de ausência de ou de comprometimento mínimo do comportamento;F70.0 Mencao ausencia de ou compr minimo comport;Mild mental retardation, With the statement of no,;"472"
F70.1;Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F70.1 Compr signif comport req vigilancia ou trat;Mild mental retardation, Significant impairment of;"472"
F70.8;Retardo mental leve - outros comprometimentos do comportamento;F70.8 Outr comprometimentos do comport;Mild mental retardation, Other impairments of beha;"472"
F70.9;Retardo mental leve - sem menção de comprometimento do comportamento;F70.9 S/mencao de compr do comport;Mild mental retardation, Without mention of impair;"472"
F71.0;Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento;F71.0 Mencao ausencia de ou compr minimo comport;Moderate mental retardation, with the statement of;"473"
F71.1;Retardo mental moderado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F71.1 Compr signif comport req vigilancia ou trat;Moderate mental retardation, significant impairmen;"473"
F71.8;Retardo mental moderado - outros comprometimentos do comportamento;F71.8 Outr comprometimentos do comport;Moderate mental retardation, other impairments of ;"473"
F71.9;Retardo mental moderado - sem menção de comprometimento do comportamento;F71.9 S/mencao de compr do comport;Moderate mental retardation, without mention of im;"473"
F72.0;Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento;F72.0 Mencao ausencia de ou compr minimo comport;Severe mental retardation, with the statement of n;"474"
F72.1;Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F72.1 Compr signif comport req vigilancia ou trat;Severe mental retardation, significant impairment ;"474"
F72.8;Retardo mental grave - outros comprometimentos do comportamento;F72.8 Outr comprometimentos do comport;Severe mental retardation, other impairments of be;"474"
F72.9;Retardo mental grave - sem menção de comprometimento do comportamento;F72.9 S/mencao de compr do comport;Severe mental retardation, without mention of impa;"474"
F73.0;Retardo mental profundo - menção de ausência de ou de comprometimento mínimo do comportamento;F73.0 Mencao ausencia de ou compr minimo comport;Profound mental retardation, with the statement of;"475"
F73.1;Retardo mental profundo - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F73.1 Compr signif comport req vigilancia ou trat;Profound mental retardation, significant impairmen;"475"
